868:109,S,108,95@1:142,867
867:109,S,108,95@1;95,TTD,95,-1@0.67:859,866
762:-1,TFD,-1,89@0.081;89,T,'62',89@0.22:62_cluster_SspCNQ329.cluster001|288edd|2138-2323|8362|62_cluster_SspCNQ329.cluster001-3213-Item8-Cond-Item9-A_no_call_Fill_0,761
761:89,T,'62',89@0.22;89,S,'33','58'@1:33_cluster_SspCNQ509|c57782|1994-2185|4370|33_cluster_SspCNQ509-1691-Item8-Cond-Item9-A_val_Fill_0,58_cluster_WAC06738cluster004|1bd006|1999-2187|7834|58_cluster_WAC06738cluster004-3020-Item6-Cond-Item7-A_val_Fill_0
757:-1,TFD,-1,89@0.081;-1,TLFD,-1,84@0.8;84,S,'65',82@0.88:65_cluster_SspCNT371.cluster001|e00a01|2132-2317|8758|65_cluster_SspCNT371.cluster001-3381-Item8-Cond-Item9-A_no_call_Fill_0,756
756:84,S,'65',82@0.88;82,T,'63',82@0.44:63_cluster_SspCNQ525.cluster001|47a90b|2129-2314|8457|63_cluster_SspCNQ525.cluster001-3269-Item8-Cond-Item9-A_no_call_Fill_0,755
755:82,T,'63',82@0.44;82,S,'64','66'@1:64_cluster_SspCNQ865.cluster001|1efe89|2132-2317|8661|64_cluster_SspCNQ865.cluster001-3325-Item8-Cond-Item9-A_no_call_Fill_0,66_cluster_SspCNY243.cluster001|26108b|2078-2263|8917|66_cluster_SspCNY243.cluster001-3435-Item8-Cond-Item9-A_no_call_Fill_0
750:93,TTD,93,-1@1;93,TTD,-1,93@0.8:176,749
749:93,TTD,-1,93@0.8;93,T,107,93@0.5:179,748
748:93,T,107,93@0.5;93,T,93,107@0.5:744,747
747:93,T,93,107@0.5;107,S,'12','56'@1:12_cluster_ArifDSM43936-3|b905de|1143-1317|1591|12_cluster_ArifDSM43936-1-659-Item3-Cond-Item4-A_nrp_Fill_0,56_cluster_WAC06369|3856d8|1119-1293|7524|56_cluster_WAC06369-2950-Item7-Cond-Item8-A_nrp_Fill_0
744:93,T,93,107@0.5;93,TTD,93,-1@0.75:722,743
743:93,TTD,93,-1@0.75;-1,TFD,-1,40@0.25:725,742
742:-1,TFD,-1,40@0.25;40,S,36,39@1:738,741
741:40,S,36,39@1;39,S,'18','26'@1:18_cluster_Chloroeremomycin-1|4e2bb9|2381-2563|2387|18_cluster_Chloroeremomycin-1-960-Item7-Cond-Item8-A_asn_Fill_0,26_cluster_KaridNRRLB16535chlor|4e2bb9|2381-2563|3447|26_cluster_KaridNRRLB16535chlor-1354-Item7-Cond-Item8-A_asn_Fill_0
738:40,S,36,39@1;36,S,35,32@1:728,737
737:36,S,35,32@1;32,S,'11',30@0.53:11_cluster_AregGY080|d0f836|2384-2562|1470|11_cluster_AregGY080-601-Item7-Cond-Item8-A_asn_Fill_0,736
736:32,S,'11',30@0.53;30,TLTD,30,-1@0.19;-1,TFD,'03',-1@0.11:03_cluster_AalbaDSM44262|b89e0c|2362-2540|356|03_cluster_AalbaDSM44262-95-Item7-Cond-Item8-A_asn_Fill_0,735
735:-1,TFD,'03',-1@0.11;-1,TFD,'09',-1@0.085:09_cluster_AOHO0100074|5a50ae|2378-2556|1216|09_cluster_AOHO0100074-461-Item7-Cond-Item8-A_asn_Fill_0,734
734:-1,TFD,'09',-1@0.085;-1,TLFD,-1,9@0.41;9,S,'40','51'@1:40_cluster_Vancomycin|b91546|2379-2557|5207|40_cluster_Vancomycin-1955-Item7-Cond-Item8-A_asn_Fill_0,51_cluster_WAC4169cluster051|ba280c|2381-2559|6827|51_cluster_WAC4169cluster051-2640-Item26-Cond-Item25-A_asn_Fill_0
728:36,S,35,32@1;35,S,'05','14'@1:05_cluster_AbalhimycinaFH1894|8cd520|2382-2562|617|05_cluster_AbalhimycinaFH1894-230-Item7-Cond-Item8-A_asn_Fill_0,14_cluster_Balhimycin|c600a7|2382-2562|1887|14_cluster_Balhimycin-708-Item7-Cond-Item8-A_asn_Fill_0
725:-1,TFD,-1,40@0.25;-1,TFD,'29',-1@0.14:29_cluster_pekiskomycin|cb4f2e|724-906|3815|29_cluster_pekiskomycin-1527-Item7-Cond-Item8-A_leu_Fill_0,47_cluster_WAC1420|6cb684|2399-2580|6269|47_cluster_WAC1420-2415-Item7-Cond-Item8-A_leu_Fill_0
47_cluster_WAC1420|6cb684|2399-2580|6269|47_cluster_WAC1420-2415-Item7-Cond-Item8-A_leu_Fill_0:-1,TFD,'29',-1@0.14;-1,TLFD,-1,'47'@0.43
722:93,TTD,93,-1@0.75;93,TTD,-1,93@0.71:300,721
721:93,TTD,-1,93@0.71;93,S,92,79@0.97:343,720
720:93,S,92,79@0.97;79,S,77,'42'@0.99:474,719
719:79,S,77,'42'@0.99;'42',TTD,'42',-1@0.83:667,718
718:'42',TTD,'42',-1@0.83;-1,TFD,66,-1@0.17:676,717
717:-1,TFD,66,-1@0.17;-1,TFD,92,-1@0.083:689,716
716:-1,TFD,92,-1@0.083;-1,TLFD,-1,92@0.42;92,S,90,'62'@1:702,715
715:92,S,90,'62'@1;'62',T,89,'62'@0.5:705,714
714:'62',T,89,'62'@0.5;'62',T,'62',84@0.5:62_cluster_SspCNQ329.cluster001|d9cd3f|310-487|8382|62_cluster_SspCNQ329.cluster001-3215-Item17-Cond-Item18-A_no_call_Fill_0,713
713:'62',T,'62',84@0.5;84,S,'65',82@1:65_cluster_SspCNT371.cluster001|f326c5|1848-2025|8801|65_cluster_SspCNT371.cluster001-3384-Item28-Cond-Item29-A_no_call_Fill_0,712
712:84,S,'65',82@1;82,S,'66','64'@1:66_cluster_SspCNY243.cluster001|3b57c3|310-487|8939|66_cluster_SspCNY243.cluster001-3437-Item18-Cond-Item19-A_no_call_Fill_0,711
711:82,S,'66','64'@1;'64',T,'63','64'@0.5:63_cluster_SspCNQ525.cluster001|4ed3e5|1848-2025|8500|63_cluster_SspCNQ525.cluster001-3272-Item28-Cond-Item29-A_no_call_Fill_0,64_cluster_SspCNQ865.cluster001|180773|1847-2024|8609|64_cluster_SspCNQ865.cluster001-3328-Item28-Cond-Item29-A_no_call_Fill_0
705:'62',T,89,'62'@0.5;89,S,'33','58'@1:33_cluster_SspCNQ509|68d264|310-487|4392|33_cluster_SspCNQ509-1693-Item18-Cond-Item19-A_nrp_Fill_0,58_cluster_WAC06738cluster004|bcc467|310-487|7853|58_cluster_WAC06738cluster004-3022-Item15-Cond-Item16-A_nrp_Fill_0
702:92,S,90,'62'@1;90,S,89,86@1:694,701
701:90,S,89,86@1;86,S,'63',84@1:63_cluster_SspCNQ525.cluster001|a73d35|310-491|8479|63_cluster_SspCNQ525.cluster001-3271-Item18-Cond-Item19-A_no_call_Fill_0,700
700:86,S,'63',84@1;84,S,'65',82@1:65_cluster_SspCNT371.cluster001|830555|310-491|8780|65_cluster_SspCNT371.cluster001-3383-Item18-Cond-Item19-A_no_call_Fill_0,699
699:84,S,'65',82@1;82,S,'64','66'@1:64_cluster_SspCNQ865.cluster001|1b0239|310-491|8683|64_cluster_SspCNQ865.cluster001-3327-Item18-Cond-Item19-A_no_call_Fill_0,66_cluster_SspCNY243.cluster001|731b10|1852-2033|8960|66_cluster_SspCNY243.cluster001-3438-Item28-Cond-Item29-A_no_call_Fill_0
694:90,S,89,86@1;89,T,'62',89@0.5:62_cluster_SspCNQ329.cluster001|f73c1e|1841-2022|8309|62_cluster_SspCNQ329.cluster001-3216-Item26-Cond-Item27-A_no_call_Fill_0,693
693:89,T,'62',89@0.5;89,S,'33','58'@1:33_cluster_SspCNQ509|436ed9|1840-2021|4413|33_cluster_SspCNQ509-1694-Item28-Cond-Item29-A_nrp_Fill_0,58_cluster_WAC06738cluster004|d9a549|1840-2021|7874|58_cluster_WAC06738cluster004-3023-Item25-Cond-Item26-A_nrp_Fill_0
689:-1,TFD,92,-1@0.083;92,S,'62',90@1:62_cluster_SspCNQ329.cluster001|7c2c30|305-485|8330|62_cluster_SspCNQ329.cluster001-3217-Item36-Cond-Item37-A_no_call_Fill_0,688
688:92,S,'62',90@1;90,S,89,86@1:680,687
687:90,S,89,86@1;86,TTD,-1,86@1:66_cluster_SspCNY243.cluster001|fe4486|305-485|8980|66_cluster_SspCNY243.cluster001-3439-Item38-Cond-Item39-A_no_call_Fill_0,686
686:86,TTD,-1,86@1;86,S,84,'63'@1:65_cluster_SspCNT371.cluster001|25c062|305-485|8821|65_cluster_SspCNT371.cluster001-3385-Item38-Cond-Item39-A_no_call_Fill_0,685
685:86,S,84,'63'@1;'63',T,'63','64'@0.5:63_cluster_SspCNQ525.cluster001|286c95|305-485|8520|63_cluster_SspCNQ525.cluster001-3273-Item38-Cond-Item39-A_no_call_Fill_0,64_cluster_SspCNQ865.cluster001|c6a231|305-485|8629|64_cluster_SspCNQ865.cluster001-3329-Item38-Cond-Item39-A_no_call_Fill_0
65_cluster_SspCNT371.cluster001|25c062|305-485|8821|65_cluster_SspCNT371.cluster001-3385-Item38-Cond-Item39-A_no_call_Fill_0:86,S,84,'63'@1;84,SL,82,'65'@1
66_cluster_SspCNY243.cluster001|fe4486|305-485|8980|66_cluster_SspCNY243.cluster001-3439-Item38-Cond-Item39-A_no_call_Fill_0:86,TTD,-1,86@1;-1,TLFD,-1,'66'@1
680:90,S,89,86@1;89,S,'33','58'@1:33_cluster_SspCNQ509|511064|305-484|4434|33_cluster_SspCNQ509-1695-Item38-Cond-Item39-A_nrp_Fill_0,58_cluster_WAC06738cluster004|67b8a2|305-484|7808|58_cluster_WAC06738cluster004-3024-Item35-Cond-Item36-A_nrp_Fill_0
676:-1,TFD,66,-1@0.17;66,S,'35','50'@1:35_cluster_SspNRRLS1521-3|4d8679|307-487|4644|35_cluster_SspNRRLS1521-1-1760-Item11-Cond-Item12-A_tyr_Fill_0,675
675:66,S,'35','50'@1;'50',T,69,'50'@0.5:671,674
674:'50',T,69,'50'@0.5;'50',T,'13','50'@0.5:13_cluster_AspOK074cluster1|2f3ccd|307-487|1745|13_cluster_AspOK074cluster1-691-Item31-Cond-Item32-A_nrp_Fill_0,50_cluster_WAC01529|b2e10b|307-487|6710|50_cluster_WAC01529-2568-Item32-Cond-Item33-A_nrp_Fill_0
671:'50',T,69,'50'@0.5;69,S,'31','32'@1:31_cluster_SluteocolorNRBC13826|26e45e|307-487|4142|31_cluster_SluteocolorNRBC13826-1611-Item36-Cond-Item37-A_nrp_Fill_0,32_cluster_Ssilaceus-3|0da9d1|307-487|4269|32_cluster_Ssilaceus-1-1656-Item5-Cond-Item6-A_nrp_Fill_0
667:'42',TTD,'42',-1@0.83;'42',TTD,'42',-1@0.99:629,666
666:'42',TTD,'42',-1@0.99;-1,TFD,-1,21@0.037:71_cluster_Kistamicin|011102|354-523|9849|71_cluster_Kistamicin-3711-Item6-Cond-Item7-A_no_call_Fill_0,665
665:-1,TFD,-1,21@0.037;21,TTD,-1,21@0.26:07_cluster_AkerFH1893nogabecin|13612f|312-487|887|07_cluster_AkerFH1893nogabecin-339-Item8-Cond-Item9-A_phe_Fill_0,664
664:21,TTD,-1,21@0.26;21,S,'04',19@0.47:644,663
663:21,S,'04',19@0.47;19,T,29,19@0.27:649,662
662:19,T,29,19@0.27;19,S,'52','08'@0.68:52_cluster_WAC4182cluster089|c61315|308-479|7059|52_cluster_WAC4182cluster089-2742-Item26-Cond-Item25-A_dhpg_Fill_0,661
661:19,S,'52','08'@0.68;'08',T,4,'08'@0.12:657,660
660:'08',T,4,'08'@0.12;'08',T,'08','55'@0.37:08_cluster_AlurRistocetin|abf26e|284-455|1014|08_cluster_AlurRistocetin-430-Item26-Cond-Item25-A_dpg_Fill_0,55_cluster_WAC05977|95f0b5|284-455|7462|55_cluster_WAC05977-2903-Item7-Cond-Item8-A_dhpg_Fill_0
657:'08',T,4,'08'@0.12;4,T,'06',4@0.12:06_cluster_Ajap-Ristocetin|276c55|307-480|765|06_cluster_Ajap-Ristocetin-285-Item8-Cond-Item9-A_dpg_Fill_0,656
656:4,T,'06',4@0.12;4,S,'53',2@1:53_cluster_WAC4197cluster073|41ac20|288-461|7214|53_cluster_WAC4197cluster073-2788-Item7-Cond-Item8-A_dhpg_Fill_0,655
655:4,S,'53',2@1;2,S,'25','27'@1:25_cluster_JPLW01000007|e2e0bc|307-480|3288|25_cluster_JPLW01000007-1282-Item8-Cond-Item9-A_dpg_Fill_0,27_cluster_KF882511-Ristocetin|e2e0bc|307-480|3592|27_cluster_KF882511-Ristocetin-1415-Item8-Cond-Item9-A_dpg_Fill_0
649:19,T,29,19@0.27;29,S,'45',27@1:45_cluster_WAC1376cluster143|6396c3|291-464|5869|45_cluster_WAC1376cluster143-2262-Item25-Cond-Item24-A_dhpg_Fill_0,648
648:29,S,'45',27@1;27,S,'44','46'@1:44_cluster_WAC1375|86eb70|287-460|5667|44_cluster_WAC1375-2128-Item7-Cond-Item8-A_dpg_Fill_0,46_cluster_WAC1416cluster068|4017ae|291-464|6078|46_cluster_WAC1416cluster068-2305-Item7-Cond-Item8-A_dhpg_Fill_0
644:21,S,'04',19@0.47;'04',TTD,'04',-1@0.33:636,643
643:'04',TTD,'04',-1@0.33;-1,TFD,'39',-1@0.033:639,642
642:-1,TFD,'39',-1@0.033;-1,TFD,'48',-1@0.091:48_cluster_WAC1424cluster109|3f00df|291-464|6364|48_cluster_WAC1424cluster109-2484-Item24-Cond-Item23-A_dhpg_Fill_0,02_cluster_A47934|cfe15e|288-463|151|02_cluster_A47934-64-Item10-Cond-Item11-A_dpg_Fill_0
02_cluster_A47934|cfe15e|288-463|151|02_cluster_A47934-64-Item10-Cond-Item11-A_dpg_Fill_0:-1,TFD,'48',-1@0.091;-1,TLFD,-1,'02'@0.37
639:-1,TFD,'39',-1@0.033;'39',T,'39','60'@0.13:39_cluster_UK68597|b35ee4|311-486|5099|39_cluster_UK68597-1910-Item7-Cond-Item8-A_dpg_Fill_0,60_cluster_AsubtropicusNRRLB24665|33354c|311-486|8061|60_cluster_AsubtropicusNRRLB24665-3099-Item8-Cond-Item9-A_dhpg_Fill_0
636:'04',TTD,'04',-1@0.33;'04',T,'04','01'@0.1:04_cluster_AazureaDSM43854|058076|311-486|481|04_cluster_AazureaDSM43854-158-Item7-Cond-Item8-A_dhpg_Fill_0,635
635:'04',T,'04','01'@0.1;'01',T,'01','28'@0.23:01_cluster_A40926|b69bf0|290-465|95|01_cluster_A40926-13-Item7-Cond-Item6-A_dpg_Fill_0,28_cluster_NcoxDSM45129|4a58b3|310-485|3712|28_cluster_NcoxDSM45129-1494-Item11-Cond-Item12-A_dhpg_Fill_0
07_cluster_AkerFH1893nogabecin|13612f|312-487|887|07_cluster_AkerFH1893nogabecin-339-Item8-Cond-Item9-A_phe_Fill_0:21,TTD,-1,21@0.26;-1,TLFD,-1,'07'@1
71_cluster_Kistamicin|011102|354-523|9849|71_cluster_Kistamicin-3711-Item6-Cond-Item7-A_no_call_Fill_0:-1,TFD,-1,21@0.037;-1,TLFD,-1,'71'@0.53
629:'42',TTD,'42',-1@0.99;'42',TTD,'42',-1@0.83:561,628
628:'42',TTD,'42',-1@0.83;-1,DD,-1,-1@0.5:566,627
627:-1,DD,-1,-1@0.5;-1,TLFD,-1,45@0.17;45,TTD,-1,45@0.67:71_cluster_Kistamicin|492fcd|490-656|9840|71_cluster_Kistamicin-3710-Item2-Cond-Item3-A_no_call_Fill_0,626
626:45,TTD,-1,45@0.67;45,S,'10',43@1:10_cluster_ArectNRRLB16090|91b351|886-1048|1356|10_cluster_ArectNRRLB16090-519-Item3-Cond-Item4-A_tyr_Fill_0,625
625:45,S,'10',43@1;43,TTD,43,-1@0.97:583,624
624:43,TTD,43,-1@0.97;-1,TFD,-1,21@0.1:600,623
