238:101,S,97,100@1:12,237
237:101,S,97,100@1;100,T,100,24@1:15,236
197:73,S,72,67@1;67,T,'04',67@1:04_cluster_AazureaDSM43854|40c465|2869-3045|504|04_cluster_AazureaDSM43854-159-Item18-E-Item19-Cond_Fill_0,196
196:67,T,'04',67@1;67,T,90,67@1:182,195
195:67,T,90,67@1;67,T,67,76@1:189,194
194:67,T,67,76@1;76,S,'52','08'@1:52_cluster_WAC4182cluster089|6721ad|2781-2942|7005|52_cluster_WAC4182cluster089-2741-Item15-E-Item14-Cond_Fill_0,193
193:76,S,'52','08'@1;'08',T,'08','55'@1:08_cluster_AlurRistocetin|b5adf0|2782-2943|1058|08_cluster_AlurRistocetin-429-Item15-E-Item14-Cond_Fill_0,55_cluster_WAC05977|7779c3|2776-2937|7441|55_cluster_WAC05977-2904-Item18-E-Item19-Cond_Fill_0
189:67,T,67,76@1;67,S,'06',65@1:06_cluster_Ajap-Ristocetin|b7eff3|2778-2943|788|06_cluster_Ajap-Ristocetin-286-Item19-E-Item20-Cond_Fill_0,188
188:67,S,'06',65@1;65,S,'53',63@1:53_cluster_WAC4197cluster073|a35ef6|2777-2943|7190|53_cluster_WAC4197cluster073-2789-Item18-E-Item19-Cond_Fill_0,187
187:65,S,'53',63@1;63,S,'25','27'@1:25_cluster_JPLW01000007|f68926|2777-2943|3311|25_cluster_JPLW01000007-1283-Item19-E-Item20-Cond_Fill_0,27_cluster_KF882511-Ristocetin|f68926|2777-2943|3615|27_cluster_KF882511-Ristocetin-1416-Item19-E-Item20-Cond_Fill_0
182:67,T,90,67@1;90,S,'45',88@1:45_cluster_WAC1376cluster143|89a266|2788-2960|5910|45_cluster_WAC1376cluster143-2261-Item14-E-Item13-Cond_Fill_0,181
181:90,S,'45',88@1;88,S,'44','46'@1:44_cluster_WAC1375|5eeb3d|2796-2968|5690|44_cluster_WAC1375-2129-Item18-E-Item19-Cond_Fill_0,46_cluster_WAC1416cluster068|d6e140|2793-2965|6101|46_cluster_WAC1416cluster068-2306-Item18-E-Item19-Cond_Fill_0
07_cluster_AkerFH1893nogabecin|5b689a|2829-3004|910|07_cluster_AkerFH1893nogabecin-340-Item19-E-Item20-Cond_Fill_0:73,S,72,67@1;72,SL,70,'07'@1
171:51,S,'48',49@1;'48',T,'10','48'@1:10_cluster_ArectNRRLB16090|9ee539|1306-1470|1319|10_cluster_ArectNRRLB16090-520-Item11-E-Item12-Cond_Fill_0,170
170:'48',T,'10','48'@1;'48',T,'39','48'@1:39_cluster_UK68597|e5e4cd|1333-1506|5119|39_cluster_UK68597-1912-Item16-E-Item17-Cond_Fill_0,169
169:'48',T,'39','48'@1;'48',T,'48','60'@1:165,168
168:'48',T,'48','60'@1;'60',T,'07','60'@1:07_cluster_AkerFH1893nogabecin|5b689a|1322-1493|902|07_cluster_AkerFH1893nogabecin-340-Item15-E-Item16-Cond_Fill_0,60_cluster_AsubtropicusNRRLB24665|294514|1330-1501|8078|60_cluster_AsubtropicusNRRLB24665-3100-Item16-E-Item17-Cond_Fill_0
165:'48',T,'48','60'@1;'48',T,'48',84@1:117,164
164:'48',T,'48',84@1;84,S,'03','04'@1:158,163
163:84,S,'03','04'@1;'04',T,'04','01'@0.5:04_cluster_AazureaDSM43854|40c465|1374-1534|496|04_cluster_AazureaDSM43854-159-Item14-E-Item15-Cond_Fill_0,162
162:'04',T,'04','01'@0.5;'01',T,'01','28'@0.5:01_cluster_A40926|2105e4|1330-1498|66|01_cluster_A40926-23-Item18-E-Item19-Cond_Fill_0,28_cluster_NcoxDSM45129|26d899|1328-1501|3736|28_cluster_NcoxDSM45129-1495-Item18-E-Item19-Cond_Fill_0
158:84,S,'03','04'@1;'03',T,'29','03'@0.5:120,157
157:'03',T,'29','03'@0.5;'03',T,'03',90@1:137,156
156:'03',T,'03',90@1;90,S,88,'45'@1:140,155
155:90,S,88,'45'@1;'45',T,'45',76@1:45_cluster_WAC1376cluster143|89a266|1314-1470|5902|45_cluster_WAC1376cluster143-2261-Item18-E-Item17-Cond_Fill_0,154
154:'45',T,'45',76@1;76,S,'52','08'@1:52_cluster_WAC4182cluster089|6721ad|1310-1465|6997|52_cluster_WAC4182cluster089-2741-Item19-E-Item18-Cond_Fill_0,153
153:76,S,'52','08'@1;'08',T,65,'08'@0.5:149,152
152:'08',T,65,'08'@0.5;'08',T,'08','55'@1:08_cluster_AlurRistocetin|b5adf0|1312-1467|1050|08_cluster_AlurRistocetin-429-Item19-E-Item18-Cond_Fill_0,55_cluster_WAC05977|7779c3|1305-1461|7433|55_cluster_WAC05977-2904-Item14-E-Item15-Cond_Fill_0
149:'08',T,65,'08'@0.5;65,T,'06',65@0.5:06_cluster_Ajap-Ristocetin|b7eff3|1308-1463|780|06_cluster_Ajap-Ristocetin-286-Item15-E-Item16-Cond_Fill_0,148
148:65,T,'06',65@0.5;65,S,'53',63@1:53_cluster_WAC4197cluster073|a35ef6|1308-1463|7182|53_cluster_WAC4197cluster073-2789-Item14-E-Item15-Cond_Fill_0,147
147:65,S,'53',63@1;63,S,'25','27'@1:25_cluster_JPLW01000007|f68926|1308-1463|3303|25_cluster_JPLW01000007-1283-Item15-E-Item16-Cond_Fill_0,27_cluster_KF882511-Ristocetin|f68926|1308-1463|3607|27_cluster_KF882511-Ristocetin-1416-Item15-E-Item16-Cond_Fill_0
140:90,S,88,'45'@1;88,S,'44','46'@1:44_cluster_WAC1375|5eeb3d|1321-1477|5682|44_cluster_WAC1375-2129-Item14-E-Item15-Cond_Fill_0,46_cluster_WAC1416cluster068|d6e140|1318-1474|6093|46_cluster_WAC1416cluster068-2306-Item14-E-Item15-Cond_Fill_0
137:'03',T,'03',90@1;'03',T,96,'03'@0.5:127,136
136:'03',T,96,'03'@0.5;'03',T,'11','03'@1:11_cluster_AregGY080|ac6242|1334-1498|1502|11_cluster_AregGY080-602-Item15-E-Item16-Cond_Fill_0,135
135:'03',T,'11','03'@1;'03',T,'03',70@0.5:03_cluster_AalbaDSM44262|311e81|1331-1495|294|03_cluster_AalbaDSM44262-96-Item15-E-Item16-Cond_Fill_0,134
134:'03',T,'03',70@0.5;70,T,'09',70@0.5:09_cluster_AOHO0100074|ca1b25|1334-1498|1187|09_cluster_AOHO0100074-462-Item14-E-Item15-Cond_Fill_0,133
133:70,T,'09',70@0.5;70,S,'40','51'@1:40_cluster_Vancomycin|aa4140|1330-1494|5221|40_cluster_Vancomycin-1956-Item14-E-Item15-Cond_Fill_0,51_cluster_WAC4169cluster051|66fb6a|1330-1494|6869|51_cluster_WAC4169cluster051-2638-Item19-E-Item18-Cond_Fill_0
127:'03',T,96,'03'@0.5;96,T,100,96@0.5:123,126
126:96,T,100,96@0.5;96,S,'05','14'@1:05_cluster_AbalhimycinaFH1894|903de1|1333-1505|632|05_cluster_AbalhimycinaFH1894-231-Item14-E-Item15-Cond_Fill_0,14_cluster_Balhimycin|69cf6a|1333-1505|1845|14_cluster_Balhimycin-709-Item14-E-Item15-Cond_Fill_0
123:96,T,100,96@0.5;100,S,'18','26'@1:18_cluster_Chloroeremomycin-1|2871d2|1334-1506|2402|18_cluster_Chloroeremomycin-1-961-Item14-E-Item15-Cond_Fill_0,26_cluster_KaridNRRLB16535chlor|2871d2|1334-1506|3462|26_cluster_KaridNRRLB16535chlor-1355-Item14-E-Item15-Cond_Fill_0
120:'03',T,'29','03'@0.5;'29',T,'47','29'@0.5:47_cluster_WAC1420|713508|1350-1520|6215|47_cluster_WAC1420-2418-Item14-E-Item15-Cond_Fill_0,29_cluster_pekiskomycin|61ac15|1343-1514|3830|29_cluster_pekiskomycin-1529-Item14-E-Item15-Cond_Fill_0
117:'48',T,'48',84@1;'48',T,'02','48'@1:02_cluster_A47934|3c365b|1327-1501|170|02_cluster_A47934-65-Item19-E-Item20-Cond_Fill_0,48_cluster_WAC1424cluster109|2a4bff|1331-1502|6335|48_cluster_WAC1424cluster109-2483-Item16-E-Item15-Cond_Fill_0
112:21,T,21,51@1;21,T,21,'42'@0.5:104,111
111:21,T,21,'42'@0.5;'42',T,'42',27@0.5:107,110
110:'42',T,'42',27@0.5;27,S,'57','59'@1:57_cluster_WAC06725|09ed46|1425-1593|7684|57_cluster_WAC06725-2976-Item4-E-Item5-Cond_Fill_0,59_cluster_WAC06783|64e4a6|1409-1577|7931|59_cluster_WAC06783-3057-Item4-E-Item5-Cond_Fill_0
107:'42',T,'42',27@0.5;'42',D,'42','42'@1:42_cluster_WAC00631|c8684d|1371-1550|5465|42_cluster_WAC00631-2042-Item19-E-Item20-Cond_Fill_0,42_cluster_WAC00631|c8684d|2907-3088|5473|42_cluster_WAC00631-2042-Item23-E-Item24-Cond_Fill_0
104:21,T,21,'42'@0.5;21,T,27,21@1:84,103
103:21,T,27,21@1;21,S,17,20@1:95,102
102:21,S,17,20@1;20,S,'32','31'@1:32_cluster_Ssilaceus-2|cb43ed|2899-3082|4257|32_cluster_Ssilaceus-1-1654-Item13-E-Item14-Cond_Fill_0,101
101:20,S,'32','31'@1;'31',D,'31','31'@0.5:31_cluster_SluteocolorNRBC13826|dfb632|2899-3082|4126|31_cluster_SluteocolorNRBC13826-1610-Item30-E-Item31-Cond_Fill_0,100
100:'31',D,'31','31'@0.5;'31',T,'31','32'@0.5:31_cluster_SluteocolorNRBC13826|dfb632|1347-1531|4118|31_cluster_SluteocolorNRBC13826-1610-Item26-E-Item27-Cond_Fill_0,32_cluster_Ssilaceus-2|cb43ed|1347-1531|4249|32_cluster_Ssilaceus-1-1654-Item9-E-Item10-Cond_Fill_0
95:21,S,17,20@1;17,T,17,'13'@1:91,94
94:17,T,17,'13'@1;'13',D,'13','13'@1:13_cluster_AspOK074cluster1|ff28ca|1357-1555|1715|13_cluster_AspOK074cluster1-690-Item21-E-Item22-Cond_Fill_0,13_cluster_AspOK074cluster1|ff28ca|2904-3097|1723|13_cluster_AspOK074cluster1-690-Item25-E-Item26-Cond_Fill_0
91:17,T,17,'13'@1;17,D,17,17@1:87,90
90:17,D,17,17@1;17,S,'50','35'@1:50_cluster_WAC01529|9b5162|1374-1573|6689|50_cluster_WAC01529-2567-Item22-E-Item23-Cond_Fill_0,35_cluster_SspNRRLS1521-3|3cb15a|282-520|4664|35_cluster_SspNRRLS1521-1-1759-Item1-E-Item2-Cond_Fill_0
87:17,D,17,17@1;17,S,'50','35'@1:50_cluster_WAC01529|9b5162|2936-3136|6697|50_cluster_WAC01529-2567-Item26-E-Item27-Cond_Fill_0,35_cluster_SspNRRLS1521-3|3cb15a|1843-2020|4672|35_cluster_SspNRRLS1521-1-1759-Item5-E-Item6-Cond_Fill_0
84:21,T,27,21@1;27,T,27,41@0.5:44,83
83:27,T,27,41@0.5;41,T,41,4@0.5:71,82
82:41,T,41,4@0.5;4,S,'61',2@1:76,81
81:4,S,'61',2@1;2,S,'43','54'@1:43_cluster_WAC01325|b6db0d|1346-1518|5564|43_cluster_WAC01325-2080-Item17-E-Item18-Cond_Fill_0,80
80:2,S,'43','54'@1;'54',T,'54','61'@1:54_cluster_WAC05379-3|ba39af|1353-1525|7269|54_cluster_WAC05379-1-2851-Item6-E-Item7-Cond_Fill_0,61_cluster_FNTE|83000e|1348-1520|8189|61_cluster_FNTE-3137-Item17-E-Item18-Cond_Fill_0
76:4,S,'61',2@1;'61',T,'61',2@1:61_cluster_FNTE|83000e|2847-3025|8197|61_cluster_FNTE-3137-Item21-E-Item22-Cond_Fill_0,75
75:'61',T,'61',2@1;2,S,'43','54'@1:43_cluster_WAC01325|b6db0d|2847-3023|5572|43_cluster_WAC01325-2080-Item21-E-Item22-Cond_Fill_0,54_cluster_WAC05379-3|ba39af|2853-3029|7277|54_cluster_WAC05379-1-2851-Item10-E-Item11-Cond_Fill_0
71:41,T,41,4@0.5;41,S,40,37@1:57,70
70:41,S,40,37@1;37,S,35,'63'@1:65_cluster_SspCNT371.cluster001|f326c5|2883-3062|8807|65_cluster_SspCNT371.cluster001-3384-Item31-E-Item32-Cond_Fill_0,69
69:37,S,35,'63'@1;'63',T,40,'63'@0.5:63,68
68:'63',T,40,'63'@0.5;'63',T,'63',33@1:63_cluster_SspCNQ525.cluster001|4ed3e5|2883-3068|8506|63_cluster_SspCNQ525.cluster001-3272-Item31-E-Item32-Cond_Fill_0,67
67:'63',T,'63',33@1;33,S,'66','64'@1:66_cluster_SspCNY243.cluster001|731b10|2891-3073|8966|66_cluster_SspCNY243.cluster001-3438-Item31-E-Item32-Cond_Fill_0,64_cluster_SspCNQ865.cluster001|180773|2882-3064|8615|64_cluster_SspCNQ865.cluster001-3328-Item31-E-Item32-Cond_Fill_0
63:'63',T,40,'63'@0.5;40,T,'62',40@0.5:62_cluster_SspCNQ329.cluster001|f73c1e|2888-3066|8315|62_cluster_SspCNQ329.cluster001-3216-Item29-E-Item30-Cond_Fill_0,62
62:40,T,'62',40@0.5;40,S,'33','58'@1:33_cluster_SspCNQ509|436ed9|2890-3068|4419|33_cluster_SspCNQ509-1694-Item31-E-Item32-Cond_Fill_0,58_cluster_WAC06738cluster004|d9a549|2880-3059|7880|58_cluster_WAC06738cluster004-3023-Item28-E-Item29-Cond_Fill_0
65_cluster_SspCNT371.cluster001|f326c5|2883-3062|8807|65_cluster_SspCNT371.cluster001-3384-Item31-E-Item32-Cond_Fill_0:37,S,35,'63'@1;35,SL,33,'65'@1
57:41,S,40,37@1;40,T,35,40@1:53,56
56:40,T,35,40@1;40,S,'33','58'@1:33_cluster_SspCNQ509|436ed9|1356-1539|4411|33_cluster_SspCNQ509-1694-Item27-E-Item28-Cond_Fill_0,58_cluster_WAC06738cluster004|d9a549|1356-1539|7872|58_cluster_WAC06738cluster004-3023-Item24-E-Item25-Cond_Fill_0
53:40,T,35,40@1;35,S,'65',33@1:47,52
52:35,S,'65',33@1;33,S,'64','66'@1:64_cluster_SspCNQ865.cluster001|180773|1360-1548|8607|64_cluster_SspCNQ865.cluster001-3328-Item27-E-Item28-Cond_Fill_0,51
51:33,S,'64','66'@1;'66',T,'66','63'@1:66_cluster_SspCNY243.cluster001|731b10|1365-1553|8958|66_cluster_SspCNY243.cluster001-3438-Item27-E-Item28-Cond_Fill_0,63_cluster_SspCNQ525.cluster001|4ed3e5|1361-1549|8498|63_cluster_SspCNQ525.cluster001-3272-Item27-E-Item28-Cond_Fill_0
47:35,S,'65',33@1;'65',T,'65','62'@1:65_cluster_SspCNT371.cluster001|f326c5|1361-1549|8799|65_cluster_SspCNT371.cluster001-3384-Item27-E-Item28-Cond_Fill_0,62_cluster_SspCNQ329.cluster001|f73c1e|1358-1542|8307|62_cluster_SspCNQ329.cluster001-3216-Item25-E-Item26-Cond_Fill_0
44:27,T,27,41@0.5;27,D,27,27@1:40,43
43:27,D,27,27@1;27,S,'57','59'@1:57_cluster_WAC06725|451761|2891-3069|7723|57_cluster_WAC06725-2978-Item23-E-Item24-Cond_Fill_0,59_cluster_WAC06783|42685d|2891-3069|7971|59_cluster_WAC06783-3059-Item23-E-Item24-Cond_Fill_0
40:27,D,27,27@1;27,S,'57','59'@1:57_cluster_WAC06725|451761|1346-1525|7715|57_cluster_WAC06725-2978-Item19-E-Item20-Cond_Fill_0,59_cluster_WAC06783|42685d|1346-1525|7963|59_cluster_WAC06783-3059-Item19-E-Item20-Cond_Fill_0
37:22,S,14,21@1;14,T,14,58@1:29,36
36:14,T,14,58@1;58,D,58,58@1:32,35
35:58,D,58,58@1;58,S,'12','56'@1:12_cluster_ArifDSM43936-3|b905de|4493-4673|1611|12_cluster_ArifDSM43936-1-659-Item13-E-Item14-Cond_Fill_0,56_cluster_WAC06369|3856d8|4469-4649|7544|56_cluster_WAC06369-2950-Item17-E-Item18-Cond_Fill_0
32:58,D,58,58@1;58,S,'12','56'@1:12_cluster_ArifDSM43936-3|b905de|3007-3180|1603|12_cluster_ArifDSM43936-1-659-Item9-E-Item10-Cond_Fill_0,56_cluster_WAC06369|3856d8|2983-3156|7536|56_cluster_WAC06369-2950-Item13-E-Item14-Cond_Fill_0
29:14,T,14,58@1;14,S,12,'13'@1:70_cluster_TLI55.cluster001|1dcea7|1526-1679|9669|70_cluster_TLI55.cluster001-3658-Item4-E-Item5-Cond_Fill_0,28
28:14,S,12,'13'@1;'13',T,'13',21@1:13_cluster_AspOK074cluster1|2f3ccd|1369-1541|1751|13_cluster_AspOK074cluster1-691-Item34-E-Item35-Cond_Fill_0,27
27:'13',T,'13',21@1;21,S,20,17@1:23,26
26:21,S,20,17@1;17,S,'35','50'@1:35_cluster_SspNRRLS1521-3|4d8679|1363-1533|4650|35_cluster_SspNRRLS1521-1-1760-Item14-E-Item15-Cond_Fill_0,50_cluster_WAC01529|b2e10b|1372-1543|6716|50_cluster_WAC01529-2568-Item35-E-Item36-Cond_Fill_0
23:21,S,20,17@1;20,S,'31','32'@1:31_cluster_SluteocolorNRBC13826|26e45e|1363-1533|4148|31_cluster_SluteocolorNRBC13826-1611-Item39-E-Item40-Cond_Fill_0,32_cluster_Ssilaceus-3|0da9d1|1363-1533|4275|32_cluster_Ssilaceus-1-1656-Item8-E-Item9-Cond_Fill_0
70_cluster_TLI55.cluster001|1dcea7|1526-1679|9669|70_cluster_TLI55.cluster001-3658-Item4-E-Item5-Cond_Fill_0:14,S,12,'13'@1;12,SL,11,6@1;6,SL,4,'70'@1
18:24,S,'47',22@1;'47',T,'47','29'@1:47_cluster_WAC1420|6cb684|1923-2103|6267|47_cluster_WAC1420-2415-Item6-E-Item7-Cond_Fill_0,29_cluster_pekiskomycin|cb4f2e|248-427|3813|29_cluster_pekiskomycin-1527-Item6-E-Item7-Cond_Fill_0
15:100,T,100,24@1;100,S,'18','26'@1:18_cluster_Chloroeremomycin-1|4e2bb9|1907-2087|2385|18_cluster_Chloroeremomycin-1-960-Item6-E-Item7-Cond_Fill_0,26_cluster_KaridNRRLB16535chlor|4e2bb9|1907-2087|3445|26_cluster_KaridNRRLB16535chlor-1354-Item6-E-Item7-Cond_Fill_0
12:101,S,97,100@1;97,S,93,96@1:8,11
11:97,S,93,96@1;96,S,'05','14'@1:05_cluster_AbalhimycinaFH1894|8cd520|1907-2085|615|05_cluster_AbalhimycinaFH1894-230-Item6-E-Item7-Cond_Fill_0,14_cluster_Balhimycin|c600a7|1907-2085|1885|14_cluster_Balhimycin-708-Item6-E-Item7-Cond_Fill_0
8:97,S,93,96@1;93,SL,91,'11'@1;'11',T,70,'11'@0.5:4,7
7:'11',T,70,'11'@0.5;'11',T,'11','03'@1:11_cluster_AregGY080|d0f836|1910-2090|1468|11_cluster_AregGY080-601-Item6-E-Item7-Cond_Fill_0,03_cluster_AalbaDSM44262|b89e0c|1890-2071|354|03_cluster_AalbaDSM44262-95-Item6-E-Item7-Cond_Fill_0
4:'11',T,70,'11'@0.5;70,T,'09',70@0.5:09_cluster_AOHO0100074|5a50ae|1902-2083|1214|09_cluster_AOHO0100074-461-Item6-E-Item7-Cond_Fill_0,3
3:70,T,'09',70@0.5;70,S,'40','51'@1:40_cluster_Vancomycin|b91546|1903-2084|5205|40_cluster_Vancomycin-1955-Item6-E-Item7-Cond_Fill_0,51_cluster_WAC4169cluster051|ba280c|1905-2086|6825|51_cluster_WAC4169cluster051-2640-Item27-E-Item26-Cond_Fill_0
