1028:93,T,93,40@0.12:172,1027
1027:93,T,93,40@0.12;40,S,36,39@inf:843,1026
992:19,T,35,19@-nan;35,S,'05','14'@-nan:05_cluster_AbalhimycinaFH1894|903de1|957-1025|629|05_cluster_AbalhimycinaFH1894-231-Item13-PCP_0,14_cluster_Balhimycin|69cf6a|957-1025|1842|14_cluster_Balhimycin-709-Item13-PCP_0
988:29,S,'03','04'@-nan;'03',T,'03',9@-nan:982,987
987:'03',T,'03',9@-nan;9,T,'09',9@-nan:09_cluster_AOHO0100074|ca1b25|957-1025|1184|09_cluster_AOHO0100074-462-Item13-PCP_0,986
986:9,T,'09',9@-nan;9,S,'40','51'@-nan:40_cluster_Vancomycin|aa4140|957-1025|5218|40_cluster_Vancomycin-1956-Item13-PCP_0,51_cluster_WAC4169cluster051|66fb6a|957-1025|6866|51_cluster_WAC4169cluster051-2638-Item20-PCP_0
982:'03',T,'03',9@-nan;'03',T,'03',39@-nan:03_cluster_AalbaDSM44262|311e81|957-1025|291|03_cluster_AalbaDSM44262-96-Item14-PCP_0,981
981:'03',T,'03',39@-nan;39,S,'18','26'@-nan:18_cluster_Chloroeremomycin-1|2871d2|957-1025|2399|18_cluster_Chloroeremomycin-1-961-Item13-PCP_0,26_cluster_KaridNRRLB16535chlor|2871d2|957-1025|3459|26_cluster_KaridNRRLB16535chlor-1355-Item13-PCP_0
977:32,TTD,32,-1@inf;32,S,'11',30@inf:951,976
976:32,S,'11',30@inf;30,T,'48',30@inf:48_cluster_WAC1424cluster109|2a4bff|957-1023|6332|48_cluster_WAC1424cluster109-2483-Item17-PCP_0,975
975:30,T,'48',30@inf;30,S,29,26@inf:04_cluster_AazureaDSM43854|eaed41|1517-1584|475|04_cluster_AazureaDSM43854-157-Item5-PCP_0,974
974:30,S,29,26@inf;26,S,20,25@-nan:966,973
973:26,S,20,25@-nan;25,TTD,-1,25@-nan:07_cluster_AkerFH1893nogabecin|0ae4e5|1525-1593|879|07_cluster_AkerFH1893nogabecin-338-Item5-PCP_0,972
972:25,TTD,-1,25@-nan;25,S,'45',23@-nan:45_cluster_WAC1376cluster143|ff21dc|1502-1568|5929|45_cluster_WAC1376cluster143-2263-Item27-PCP_0,971
971:25,S,'45',23@-nan;23,S,'44','46'@-nan:44_cluster_WAC1375|b413c5|1524-1590|5733|44_cluster_WAC1375-2127-Item5-PCP_0,46_cluster_WAC1416cluster068|92ab0d|1526-1592|6073|46_cluster_WAC1416cluster068-2304-Item5-PCP_0
07_cluster_AkerFH1893nogabecin|0ae4e5|1525-1593|879|07_cluster_AkerFH1893nogabecin-338-Item5-PCP_0:25,TTD,-1,25@-nan;-1,TLFD,-1,'07'@-nan
966:26,S,20,25@-nan;20,S,16,19@-nan:958,965
965:20,S,16,19@-nan;19,TTD,-1,19@-nan:06_cluster_Ajap-Ristocetin|fe5f01|1516-1581|757|06_cluster_Ajap-Ristocetin-284-Item5-PCP_0,964
964:19,TTD,-1,19@-nan;19,S,'08','52'@-nan:08_cluster_AlurRistocetin|f97b18|1514-1580|1077|08_cluster_AlurRistocetin-431-Item28-PCP_0,963
963:19,S,'08','52'@-nan;'52',T,'52','55'@-nan:52_cluster_WAC4182cluster089|7af037|1516-1581|7051|52_cluster_WAC4182cluster089-2743-Item29-PCP_0,55_cluster_WAC05977|c79709|1513-1578|7416|55_cluster_WAC05977-2902-Item5-PCP_0
06_cluster_Ajap-Ristocetin|fe5f01|1516-1581|757|06_cluster_Ajap-Ristocetin-284-Item5-PCP_0:19,TTD,-1,19@-nan;-1,TLFD,-1,'06'@-nan
958:20,S,16,19@-nan;16,TLTD,16,-1@-nan;-1,TLFD,-1,4@-nan;4,S,'53',2@-nan:53_cluster_WAC4197cluster073|c876dd|1515-1580|7165|53_cluster_WAC4197cluster073-2787-Item5-PCP_0,957
957:4,S,'53',2@-nan;2,S,'25','27'@-nan:25_cluster_JPLW01000007|106ba6|1513-1578|3280|25_cluster_JPLW01000007-1281-Item5-PCP_0,27_cluster_KF882511-Ristocetin|106ba6|1513-1578|3584|27_cluster_KF882511-Ristocetin-1414-Item5-PCP_0
04_cluster_AazureaDSM43854|eaed41|1517-1584|475|04_cluster_AazureaDSM43854-157-Item5-PCP_0:30,S,29,26@inf;29,SL,'03','04'@inf
951:32,S,'11',30@inf;'11',T,'11','02'@-nan:11_cluster_AregGY080|ac6242|957-1024|1499|11_cluster_AregGY080-602-Item14-PCP_0,02_cluster_A47934|3c365b|956-1023|167|02_cluster_A47934-65-Item18-PCP_0
01_cluster_A40926|2105e4|957-1024|63|01_cluster_A40926-23-Item17-PCP_0:32,TTD,-1,32@inf;-1,TLFD,-1,'01'@-nan
947:32,T,'47',32@inf;'47',T,'47','29'@-nan:47_cluster_WAC1420|713508|974-1041|6212|47_cluster_WAC1420-2418-Item13-PCP_0,29_cluster_pekiskomycin|61ac15|968-1034|3827|29_cluster_pekiskomycin-1529-Item13-PCP_0
28_cluster_NcoxDSM45129|26d899|955-1022|3733|28_cluster_NcoxDSM45129-1495-Item17-PCP_0:43,TTD,-1,43@inf;-1,TLFD,-1,'28'@inf
940:45,TTD,-1,45@inf;-1,DD,-1,-1@inf:71_cluster_Kistamicin|8e9844|947-1013|9795|71_cluster_Kistamicin-3712-Item13-PCP_0,71_cluster_Kistamicin|011102|990-1057|9852|71_cluster_Kistamicin-3711-Item8-PCP_0
71_cluster_Kistamicin|011102|990-1057|9852|71_cluster_Kistamicin-3711-Item8-PCP_0:-1,DD,-1,-1@inf;-1,TLFD,-1,'71'@inf
71_cluster_Kistamicin|8e9844|947-1013|9795|71_cluster_Kistamicin-3712-Item13-PCP_0:-1,DD,-1,-1@inf;-1,TLFD,-1,'71'@inf
937:45,D,45,45@inf;45,TTD,-1,45@inf:71_cluster_Kistamicin|492fcd|1128-1195|9843|71_cluster_Kistamicin-3710-Item4-PCP_0,936
936:45,TTD,-1,45@inf;45,TTD,-1,45@inf:48_cluster_WAC1424cluster109|3b5f08|1510-1576|6359|48_cluster_WAC1424cluster109-2485-Item26-PCP_0,935
935:45,TTD,-1,45@inf;45,S,43,'10'@inf:929,934
934:45,S,43,'10'@inf;'10',T,'10','29'@inf:10_cluster_ArectNRRLB16090|91b351|1541-1609|1359|10_cluster_ArectNRRLB16090-519-Item5-PCP_0,933
933:'10',T,'10','29'@inf;'29',T,'29','47'@inf:29_cluster_pekiskomycin|48a09c|1554-1619|3810|29_cluster_pekiskomycin-1526-Item5-PCP_0,47_cluster_WAC1420|6cb684|1542-1610|6264|47_cluster_WAC1420-2415-Item5-PCP_0
929:45,S,43,'10'@inf;43,T,36,43@inf:923,928
928:43,T,36,43@inf;43,TTD,-1,43@inf:02_cluster_A47934|96a3b7|1521-1588|219|02_cluster_A47934-63-Item8-PCP_0,927
927:43,TTD,-1,43@inf;43,S,'39','60'@inf:39_cluster_UK68597|94efaf|1522-1590|5093|39_cluster_UK68597-1909-Item5-PCP_0,60_cluster_AsubtropicusNRRLB24665|9b0aff|1521-1589|8053|60_cluster_AsubtropicusNRRLB24665-3098-Item5-PCP_0
02_cluster_A47934|96a3b7|1521-1588|219|02_cluster_A47934-63-Item8-PCP_0:43,TTD,-1,43@inf;-1,TLFD,-1,'02'@inf
923:43,T,36,43@inf;36,S,35,32@inf:913,922
922:36,S,35,32@inf;32,S,30,'11'@inf:918,921
921:32,S,30,'11'@inf;'11',T,'03','11'@-nan:03_cluster_AalbaDSM44262|b89e0c|1522-1590|351|03_cluster_AalbaDSM44262-95-Item5-PCP_0,11_cluster_AregGY080|d0f836|1525-1592|1465|11_cluster_AregGY080-601-Item5-PCP_0
918:32,S,30,'11'@inf;30,TTD,-1,30@inf:09_cluster_AOHO0100074|5a50ae|1523-1589|1211|09_cluster_AOHO0100074-461-Item5-PCP_0,917
917:30,TTD,-1,30@inf;30,TLTD,30,-1@inf;-1,TLFD,-1,9@-nan;9,S,'40','51'@-nan:40_cluster_Vancomycin|b91546|1524-1590|5202|40_cluster_Vancomycin-1955-Item5-PCP_0,51_cluster_WAC4169cluster051|ba280c|1526-1592|6822|51_cluster_WAC4169cluster051-2640-Item28-PCP_0
09_cluster_AOHO0100074|5a50ae|1523-1589|1211|09_cluster_AOHO0100074-461-Item5-PCP_0:30,TTD,-1,30@inf;-1,TLFD,-1,'09'@-nan
913:36,S,35,32@inf;35,T,39,35@-nan:909,912
912:35,T,39,35@-nan;35,S,'05','14'@-nan:05_cluster_AbalhimycinaFH1894|8cd520|1524-1592|612|05_cluster_AbalhimycinaFH1894-230-Item5-PCP_0,14_cluster_Balhimycin|c600a7|1524-1592|1882|14_cluster_Balhimycin-708-Item5-PCP_0
909:35,T,39,35@-nan;39,S,'18','26'@-nan:18_cluster_Chloroeremomycin-1|4e2bb9|1521-1587|2382|18_cluster_Chloroeremomycin-1-960-Item5-PCP_0,26_cluster_KaridNRRLB16535chlor|4e2bb9|1521-1587|3442|26_cluster_KaridNRRLB16535chlor-1354-Item5-PCP_0
48_cluster_WAC1424cluster109|3b5f08|1510-1576|6359|48_cluster_WAC1424cluster109-2485-Item26-PCP_0:45,TTD,-1,45@inf;-1,TLFD,-1,'48'@inf
71_cluster_Kistamicin|492fcd|1128-1195|9843|71_cluster_Kistamicin-3710-Item4-PCP_0:45,TTD,-1,45@inf;-1,TLFD,-1,'71'@inf
904:39,T,39,45@inf;39,TTD,-1,39@inf:71_cluster_Kistamicin|8e9844|3487-3553|9809|71_cluster_Kistamicin-3712-Item20-PCP_0,903
903:39,TTD,-1,39@inf;39,TTD,-1,39@inf:02_cluster_A47934|3c365b|3963-4030|183|02_cluster_A47934-65-Item26-PCP_0,902
902:39,TTD,-1,39@inf;39,TTD,39,-1@inf:880,901
901:39,TTD,39,-1@inf;-1,DD,-1,-1@inf:04_cluster_AazureaDSM43854|40c465|3997-4063|509|04_cluster_AazureaDSM43854-159-Item21-PCP_0,900
900:-1,DD,-1,-1@inf;-1,TLFD,-1,26@inf;26,S,20,25@inf:894,899
899:26,S,20,25@inf;25,S,23,'45'@inf:46_cluster_WAC1416cluster068|d6e140|3921-3988|6106|46_cluster_WAC1416cluster068-2306-Item21-PCP_0,898
898:25,S,23,'45'@inf;'45',T,'44','45'@inf:44_cluster_WAC1375|5eeb3d|3924-3991|5695|44_cluster_WAC1375-2129-Item21-PCP_0,45_cluster_WAC1376cluster143|89a266|3916-3983|5915|45_cluster_WAC1376cluster143-2261-Item11-PCP_0
46_cluster_WAC1416cluster068|d6e140|3921-3988|6106|46_cluster_WAC1416cluster068-2306-Item21-PCP_0:25,S,23,'45'@inf;23,SL,'44','46'@inf
894:26,S,20,25@inf;20,TTD,-1,20@-nan:06_cluster_Ajap-Ristocetin|b7eff3|3893-3960|793|06_cluster_Ajap-Ristocetin-286-Item22-PCP_0,893
893:20,TTD,-1,20@-nan;20,TTD,-1,20@-nan:887,892
892:20,TTD,-1,20@-nan;20,S,16,19@-nan:55_cluster_WAC05977|7779c3|3887-3954|7446|55_cluster_WAC05977-2904-Item21-PCP_0,891
891:20,S,16,19@-nan;19,S,'08','52'@-nan:08_cluster_AlurRistocetin|b5adf0|3893-3960|1063|08_cluster_AlurRistocetin-429-Item12-PCP_0,52_cluster_WAC4182cluster089|6721ad|3892-3959|7010|52_cluster_WAC4182cluster089-2741-Item12-PCP_0
55_cluster_WAC05977|7779c3|3887-3954|7446|55_cluster_WAC05977-2904-Item21-PCP_0:20,S,16,19@-nan;16,SL,14,'55'@-nan
887:20,TTD,-1,20@-nan;-1,TLFD,-1,4@-nan;4,S,'53',2@-nan:53_cluster_WAC4197cluster073|a35ef6|3893-3960|7195|53_cluster_WAC4197cluster073-2789-Item21-PCP_0,886
886:4,S,'53',2@-nan;2,S,'25','27'@-nan:25_cluster_JPLW01000007|f68926|3893-3960|3316|25_cluster_JPLW01000007-1283-Item22-PCP_0,27_cluster_KF882511-Ristocetin|f68926|3893-3960|3620|27_cluster_KF882511-Ristocetin-1416-Item22-PCP_0
06_cluster_Ajap-Ristocetin|b7eff3|3893-3960|793|06_cluster_Ajap-Ristocetin-286-Item22-PCP_0:20,TTD,-1,20@-nan;-1,TLFD,-1,'06'@-nan
04_cluster_AazureaDSM43854|40c465|3997-4063|509|04_cluster_AazureaDSM43854-159-Item21-PCP_0:-1,DD,-1,-1@inf;-1,TLFD,-1,'04'@inf
880:39,TTD,39,-1@inf;39,TTD,-1,39@inf:864,879
879:39,TTD,-1,39@inf;39,T,43,39@inf:875,878
878:39,T,43,39@inf;39,S,'18','26'@inf:18_cluster_Chloroeremomycin-1|2871d2|3974-4041|2415|18_cluster_Chloroeremomycin-1-961-Item21-PCP_0,26_cluster_KaridNRRLB16535chlor|2871d2|3974-4041|3475|26_cluster_KaridNRRLB16535chlor-1355-Item21-PCP_0
875:39,T,43,39@inf;43,S,'39','60'@inf:867,874
874:43,S,'39','60'@inf;'60',T,'10','60'@inf:10_cluster_ArectNRRLB16090|9ee539|3984-4051|1332|10_cluster_ArectNRRLB16090-520-Item18-PCP_0,873
873:'60',T,'10','60'@inf;'60',T,'60','01'@inf:60_cluster_AsubtropicusNRRLB24665|294514|3961-4028|8091|60_cluster_AsubtropicusNRRLB24665-3100-Item23-PCP_0,872
872:'60',T,'60','01'@inf;'01',T,'01','28'@inf:01_cluster_A40926|2105e4|3980-4047|79|01_cluster_A40926-23-Item25-PCP_0,28_cluster_NcoxDSM45129|26d899|3978-4045|3749|28_cluster_NcoxDSM45129-1495-Item25-PCP_0
867:43,S,'39','60'@inf;'39',T,'48','39'@inf:48_cluster_WAC1424cluster109|2a4bff|3984-4051|6348|48_cluster_WAC1424cluster109-2483-Item9-PCP_0,39_cluster_UK68597|e5e4cd|3973-4040|5132|39_cluster_UK68597-1912-Item23-PCP_0
864:39,TTD,-1,39@inf;-1,TLFD,-1,11@inf;11,S,9,'07'@inf:858,863
863:11,S,9,'07'@inf;'07',T,'07','29'@inf:07_cluster_AkerFH1893nogabecin|5b689a|3958-4025|915|07_cluster_AkerFH1893nogabecin-340-Item22-PCP_0,862
862:'07',T,'07','29'@inf;'29',T,'29','47'@inf:29_cluster_pekiskomycin|61ac15|3996-4063|3843|29_cluster_pekiskomycin-1529-Item21-PCP_0,47_cluster_WAC1420|713508|4003-4069|6228|47_cluster_WAC1420-2418-Item21-PCP_0
858:11,S,9,'07'@inf;9,T,'03',9@inf:03_cluster_AalbaDSM44262|311e81|3945-4012|307|03_cluster_AalbaDSM44262-96-Item22-PCP_0,857
857:9,T,'03',9@inf;9,T,9,'09'@inf:853,856
856:9,T,9,'09'@inf;'09',T,'09','11'@inf:09_cluster_AOHO0100074|ca1b25|3953-4019|1200|09_cluster_AOHO0100074-462-Item21-PCP_0,11_cluster_AregGY080|ac6242|3960-4027|1515|11_cluster_AregGY080-602-Item22-PCP_0
853:9,T,9,'09'@inf;9,T,9,35@inf:849,852
852:9,T,9,35@inf;35,S,'05','14'@inf:05_cluster_AbalhimycinaFH1894|903de1|3974-4041|645|05_cluster_AbalhimycinaFH1894-231-Item21-PCP_0,14_cluster_Balhimycin|69cf6a|3974-4041|1858|14_cluster_Balhimycin-709-Item21-PCP_0
849:9,T,9,35@inf;9,S,'40','51'@inf:40_cluster_Vancomycin|aa4140|3947-4014|5234|40_cluster_Vancomycin-1956-Item21-PCP_0,51_cluster_WAC4169cluster051|66fb6a|3948-4015|6882|51_cluster_WAC4169cluster051-2638-Item12-PCP_0
02_cluster_A47934|3c365b|3963-4030|183|02_cluster_A47934-65-Item26-PCP_0:39,TTD,-1,39@inf;-1,TLFD,-1,'02'@inf
71_cluster_Kistamicin|8e9844|3487-3553|9809|71_cluster_Kistamicin-3712-Item20-PCP_0:39,TTD,-1,39@inf;-1,TLFD,-1,'71'@inf
843:40,S,36,39@inf;36,T,79,36@inf:781,842
842:36,T,79,36@inf;36,TTD,-1,36@inf:60_cluster_AsubtropicusNRRLB24665|9b0aff|502-568|8047|60_cluster_AsubtropicusNRRLB24665-3098-Item2-PCP_0,841
841:36,TTD,-1,36@inf;36,T,36,'10'@inf:837,840
840:36,T,36,'10'@inf;'10',T,'07','10'@inf:07_cluster_AkerFH1893nogabecin|0ae4e5|503-570|873|07_cluster_AkerFH1893nogabecin-338-Item2-PCP_0,10_cluster_ArectNRRLB16090|91b351|496-561|1353|10_cluster_ArectNRRLB16090-519-Item2-PCP_0
837:36,T,36,'10'@inf;36,T,'47',36@inf:791,836
836:36,T,'47',36@inf;36,TTD,36,-1@inf:832,835
835:36,TTD,36,-1@inf;-1,DD,-1,-1@inf:48_cluster_WAC1424cluster109|3b5f08|490-555|6353|48_cluster_WAC1424cluster109-2485-Item29-PCP_0,71_cluster_Kistamicin|492fcd|93-160|9837|71_cluster_Kistamicin-3710-Item1-PCP_0
71_cluster_Kistamicin|492fcd|93-160|9837|71_cluster_Kistamicin-3710-Item1-PCP_0:-1,DD,-1,-1@inf;-1,TLFD,-1,'71'@inf
48_cluster_WAC1424cluster109|3b5f08|490-555|6353|48_cluster_WAC1424cluster109-2485-Item29-PCP_0:-1,DD,-1,-1@inf;-1,TLFD,-1,'48'@inf
832:36,TTD,36,-1@inf;36,S,35,32@inf:796,831
831:36,S,35,32@inf;32,S,'11',30@inf:809,830
830:32,S,'11',30@inf;30,SL,29,26@inf;26,S,25,20@inf:814,829
829:26,S,25,20@inf;20,TTD,20,-1@inf:821,828
828:20,TTD,20,-1@inf;-1,TLFD,-1,6@inf;6,S,'06',4@inf:06_cluster_Ajap-Ristocetin|fe5f01|499-564|751|06_cluster_Ajap-Ristocetin-284-Item2-PCP_0,827
827:6,S,'06',4@inf;4,S,'53',2@inf:53_cluster_WAC4197cluster073|c876dd|498-563|7159|53_cluster_WAC4197cluster073-2787-Item2-PCP_0,826
826:4,S,'53',2@inf;2,S,'25','27'@inf:25_cluster_JPLW01000007|106ba6|496-561|3274|25_cluster_JPLW01000007-1281-Item2-PCP_0,27_cluster_KF882511-Ristocetin|106ba6|496-561|3578|27_cluster_KF882511-Ristocetin-1414-Item2-PCP_0
821:20,TTD,20,-1@inf;20,S,16,19@inf:55_cluster_WAC05977|c79709|496-562|7410|55_cluster_WAC05977-2902-Item2-PCP_0,820
820:20,S,16,19@inf;19,T,'04',19@inf:04_cluster_AazureaDSM43854|eaed41|497-562|469|04_cluster_AazureaDSM43854-157-Item2-PCP_0,819
819:19,T,'04',19@inf;19,S,'08','52'@inf:08_cluster_AlurRistocetin|f97b18|496-561|1071|08_cluster_AlurRistocetin-431-Item31-PCP_0,52_cluster_WAC4182cluster089|7af037|498-563|7045|52_cluster_WAC4182cluster089-2743-Item32-PCP_0
55_cluster_WAC05977|c79709|496-562|7410|55_cluster_WAC05977-2902-Item2-PCP_0:20,S,16,19@inf;16,SL,14,'55'@inf
814:26,S,25,20@inf;25,S,'45',23@inf:45_cluster_WAC1376cluster143|ff21dc|484-550|5923|45_cluster_WAC1376cluster143-2263-Item30-PCP_0,813
813:25,S,'45',23@inf;23,S,'44','46'@inf:44_cluster_WAC1375|b413c5|502-568|5727|44_cluster_WAC1375-2127-Item2-PCP_0,46_cluster_WAC1416cluster068|92ab0d|504-570|6067|46_cluster_WAC1416cluster068-2304-Item2-PCP_0
809:32,S,'11',30@inf;'11',T,39,'11'@inf:799,808
808:'11',T,39,'11'@inf;'11',T,'11',9@inf:11_cluster_AregGY080|d0f836|505-570|1459|11_cluster_AregGY080-601-Item2-PCP_0,807
807:'11',T,'11',9@inf;9,T,'03',9@inf:03_cluster_AalbaDSM44262|b89e0c|502-568|345|03_cluster_AalbaDSM44262-95-Item2-PCP_0,806
806:9,T,'03',9@inf;9,T,'09',9@inf:09_cluster_AOHO0100074|5a50ae|503-569|1205|09_cluster_AOHO0100074-461-Item2-PCP_0,805
805:9,T,'09',9@inf;9,S,'40','51'@inf:40_cluster_Vancomycin|b91546|504-570|5196|40_cluster_Vancomycin-1955-Item2-PCP_0,51_cluster_WAC4169cluster051|ba280c|506-572|6816|51_cluster_WAC4169cluster051-2640-Item31-PCP_0
799:'11',T,39,'11'@inf;39,S,'18','26'@inf:18_cluster_Chloroeremomycin-1|4e2bb9|501-567|2376|18_cluster_Chloroeremomycin-1-960-Item2-PCP_0,26_cluster_KaridNRRLB16535chlor|4e2bb9|501-567|3436|26_cluster_KaridNRRLB16535chlor-1354-Item2-PCP_0
796:36,S,35,32@inf;35,T,'39',35@inf:39_cluster_UK68597|94efaf|502-567|5087|39_cluster_UK68597-1909-Item2-PCP_0,795
795:35,T,'39',35@inf;35,S,'05','14'@inf:05_cluster_AbalhimycinaFH1894|8cd520|504-569|606|05_cluster_AbalhimycinaFH1894-230-Item2-PCP_0,14_cluster_Balhimycin|c600a7|504-569|1876|14_cluster_Balhimycin-708-Item2-PCP_0
791:36,T,'47',36@inf;'47',T,'02','47'@inf:02_cluster_A47934|96a3b7|499-566|213|02_cluster_A47934-63-Item5-PCP_0,790
790:'47',T,'02','47'@inf;'47',T,'01','47'@inf:786,789
789:'47',T,'01','47'@inf;'47',T,'29','47'@inf:29_cluster_pekiskomycin|48a09c|524-590|3804|29_cluster_pekiskomycin-1526-Item2-PCP_0,47_cluster_WAC1420|6cb684|517-583|6258|47_cluster_WAC1420-2415-Item2-PCP_0
786:'47',T,'01','47'@inf;'01',T,'01','28'@inf:01_cluster_A40926|3799f5|503-570|103|01_cluster_A40926-14-Item12-PCP_0,28_cluster_NcoxDSM45129|12d4f1|498-565|3698|28_cluster_NcoxDSM45129-1493-Item5-PCP_0
60_cluster_AsubtropicusNRRLB24665|9b0aff|502-568|8047|60_cluster_AsubtropicusNRRLB24665-3098-Item2-PCP_0:36,TTD,-1,36@inf;-1,TLFD,-1,'60'@inf
781:36,T,79,36@inf;79,S,77,'42'@inf:627,780
780:79,S,77,'42'@inf;'42',TTD,-1,'42'@inf:688,779
779:'42',TTD,-1,'42'@inf;'42',T,'42',45@inf:719,778
778:'42',T,'42',45@inf;45,S,'10',43@-nan:10_cluster_ArectNRRLB16090|9ee539|2433-2501|1324|10_cluster_ArectNRRLB16090-520-Item14-PCP_0,777
777:45,S,'10',43@-nan;43,T,102,43@-nan:773,776
776:43,T,102,43@-nan;43,S,'39','60'@-nan:39_cluster_UK68597|e5e4cd|2459-2526|5124|39_cluster_UK68597-1912-Item19-PCP_0,60_cluster_AsubtropicusNRRLB24665|294514|2451-2517|8083|60_cluster_AsubtropicusNRRLB24665-3100-Item19-PCP_0
773:43,T,102,43@-nan;102,TTD,-1,102@-nan:02_cluster_A47934|3c365b|2452-2520|175|02_cluster_A47934-65-Item22-PCP_0,772
772:102,TTD,-1,102@-nan;102,T,102,39@-nan:726,771
771:102,T,102,39@-nan;39,T,29,39@-nan:747,770
770:39,T,29,39@-nan;39,T,39,19@-nan:750,769
769:39,T,39,19@-nan;19,TTD,-1,19@-nan:753,768
768:19,TTD,-1,19@-nan;19,S,'52','08'@-nan:756,767
767:19,S,'52','08'@-nan;'08',T,6,'08'@-nan:763,766
766:'08',T,6,'08'@-nan;'08',T,'08','55'@-nan:08_cluster_AlurRistocetin|b5adf0|2413-2480|1055|08_cluster_AlurRistocetin-429-Item16-PCP_0,55_cluster_WAC05977|7779c3|2407-2474|7438|55_cluster_WAC05977-2904-Item17-PCP_0
763:'08',T,6,'08'@-nan;6,S,'06',4@-nan:06_cluster_Ajap-Ristocetin|b7eff3|2409-2475|785|06_cluster_Ajap-Ristocetin-286-Item18-PCP_0,762
762:6,S,'06',4@-nan;4,S,'53',2@-nan:53_cluster_WAC4197cluster073|a35ef6|2409-2475|7187|53_cluster_WAC4197cluster073-2789-Item17-PCP_0,761
761:4,S,'53',2@-nan;2,S,'25','27'@-nan:25_cluster_JPLW01000007|f68926|2409-2475|3308|25_cluster_JPLW01000007-1283-Item18-PCP_0,27_cluster_KF882511-Ristocetin|f68926|2409-2475|3612|27_cluster_KF882511-Ristocetin-1416-Item18-PCP_0
