868:109,S,108,95@1:142,867
867:109,S,108,95@1;95,TTD,95,-1@1:859,866
848:'49',D,'49','49'@0.14;'49',D,'49','49'@0.11:836,847
847:'49',D,'49','49'@0.11;'49',D,'49','49'@0.14:49_cluster_WAC1438rc4d|da5867|4580-4762|6498|49_cluster_WAC1438rc4d-2520-Item16-Cond-Item17-A_nrp_Fill_0,846
846:'49',D,'49','49'@0.14;'49',D,'49','49'@0.11:842,845
845:'49',D,'49','49'@0.11;'49',D,'49','49'@0.24:49_cluster_WAC1438rc4d|d6be1d|2464-2645|6455|49_cluster_WAC1438rc4d-2521-Item43-Cond-Item44-A_nrp_Fill_0,49_cluster_WAC1438rc4d|d6be1d|4592-4786|6467|49_cluster_WAC1438rc4d-2521-Item49-Cond-Item50-A_ser_Fill_0
842:'49',D,'49','49'@0.11;'49',D,'49','49'@0.17:49_cluster_WAC1438rc4d|f4aa9d|6743-6936|6580|49_cluster_WAC1438rc4d-2522-Item70-Cond-Item71-A_ser_Fill_0,841
841:'49',D,'49','49'@0.17;'49',D,'49','49'@0.23:49_cluster_WAC1438rc4d|da5867|11020-11202|6534|49_cluster_WAC1438rc4d-2520-Item34-Cond-Item35-A_ser_Fill_0,49_cluster_WAC1438rc4d|f4aa9d|1404-1601|6550|49_cluster_WAC1438rc4d-2522-Item55-Cond-Item56-A_ser_Fill_0
836:'49',D,'49','49'@0.11;'49',D,'49','49'@0.25:49_cluster_WAC1438rc4d|da5867|9952-10133|6528|49_cluster_WAC1438rc4d-2520-Item31-Cond-Item32-A_hpg_Fill_0,49_cluster_WAC1438rc4d|d6be1d|1382-1566|6449|49_cluster_WAC1438rc4d-2521-Item40-Cond-Item41-A_nrp_Fill_0
832:'49',D,'49','49'@0.12;'49',D,'49','49'@0.25:49_cluster_WAC1438rc4d|da5867|2449-2630|6486|49_cluster_WAC1438rc4d-2520-Item10-Cond-Item11-A_nrp_Fill_0,49_cluster_WAC1438rc4d|da5867|3514-3698|6492|49_cluster_WAC1438rc4d-2520-Item13-Cond-Item14-A_asp_Fill_0
829:'67',D,'67','67'@0.047;'67',D,'67','67'@0.084:815,828
828:'67',D,'67','67'@0.084;'67',D,'67','67'@0.041:67_cluster_STLI053.cluster001|4e2fef|1415-1605|9082|67_cluster_STLI053.cluster001-3497-Item16-Cond-Item17-A_glu_Fill_0,827
827:'67',D,'67','67'@0.041;'67',T,'67','69'@0.051:823,826
826:'67',T,'67','69'@0.051;'69',D,'69','69'@0.25:69_cluster_MchersinaDSM44151|89c115|3515-3692|9523|69_cluster_MchersinaDSM44151-3597-Item38-Cond-Item39-A_nrp_Fill_0,69_cluster_MchersinaDSM44151|60540f|2491-2668|9476|69_cluster_MchersinaDSM44151-3596-Item15-Cond-Item16-A_thr_Fill_0
823:'67',T,'67','69'@0.051;'67',D,'67','67'@0.037:819,822
822:'67',D,'67','67'@0.037;'67',T,'67','69'@0.2:67_cluster_STLI053.cluster001|3a97f0|1376-1556|9069|67_cluster_STLI053.cluster001-3496-Item10-Cond-Item11-A_asp_Fill_0,69_cluster_MchersinaDSM44151|4931ca|1371-1549|9457|69_cluster_MchersinaDSM44151-3595-Item6-Cond-Item7-A_asn_Fill_0
819:'67',D,'67','67'@0.037;'67',T,'69','67'@0.2:69_cluster_MchersinaDSM44151|89c115|5631-5810|9535|69_cluster_MchersinaDSM44151-3597-Item44-Cond-Item45-A_val_Fill_0,67_cluster_STLI053.cluster001|e171e6|5639-5825|9147|67_cluster_STLI053.cluster001-3498-Item48-Cond-Item49-A_val_Fill_0
815:'67',D,'67','67'@0.084;'67',D,'67','67'@0.065:811,814
814:'67',D,'67','67'@0.065;'67',D,'67','67'@0.26:67_cluster_STLI053.cluster001|e171e6|3515-3692|9135|67_cluster_STLI053.cluster001-3498-Item42-Cond-Item43-A_no_call_Fill_0,67_cluster_STLI053.cluster001|e171e6|7774-7963|9159|67_cluster_STLI053.cluster001-3498-Item54-Cond-Item55-A_leu_Fill_0
811:'67',D,'67','67'@0.065;'67',T,'69','67'@0.11:807,810
810:'67',T,'69','67'@0.11;'67',D,'67','67'@0.26:67_cluster_STLI053.cluster001|4e2fef|3584-3764|9094|67_cluster_STLI053.cluster001-3497-Item22-Cond-Item23-A_no_call_Fill_0,67_cluster_STLI053.cluster001|e171e6|1392-1572|9123|67_cluster_STLI053.cluster001-3498-Item36-Cond-Item37-A_hpg_Fill_0
807:'67',T,'69','67'@0.11;'69',D,'69','69'@0.26:69_cluster_MchersinaDSM44151|89c115|1391-1568|9511|69_cluster_MchersinaDSM44151-3597-Item32-Cond-Item33-A_hpg_Fill_0,69_cluster_MchersinaDSM44151|60540f|3567-3748|9482|69_cluster_MchersinaDSM44151-3596-Item18-Cond-Item19-A_hpg_Fill_0
804:'67',T,'68','67'@0.084;'68',T,'69','68'@0.12:69_cluster_MchersinaDSM44151|89c115|7764-7950|9547|69_cluster_MchersinaDSM44151-3597-Item50-Cond-Item51-A_hpg_Fill_0,803
803:'68',T,'69','68'@0.12;'68',D,'68','68'@0.14:68_cluster_HdaliensisNBRC106472.cluster001|55deb0|4450-4622|9292|68_cluster_HdaliensisNBRC106472.cluster001-3547-Item22-Cond-Item23-A_no_call_Fill_0,802
802:'68',D,'68','68'@0.14;'68',D,'68','68'@0.11:798,801
801:'68',D,'68','68'@0.11;'68',D,'68','68'@0.24:68_cluster_HdaliensisNBRC106472.cluster001|55deb0|3413-3592|9286|68_cluster_HdaliensisNBRC106472.cluster001-3547-Item19-Cond-Item20-A_no_call_Fill_0,68_cluster_HdaliensisNBRC106472.cluster001|4de7cc|3412-3594|9353|68_cluster_HdaliensisNBRC106472.cluster001-3548-Item52-Cond-Item53-A_tyr_Fill_0
798:'68',D,'68','68'@0.11;'68',D,'68','68'@0.17:68_cluster_HdaliensisNBRC106472.cluster001|55deb0|6518-6691|9304|68_cluster_HdaliensisNBRC106472.cluster001-3547-Item28-Cond-Item29-A_no_call_Fill_0,797
797:'68',D,'68','68'@0.17;'68',D,'68','68'@0.23:68_cluster_HdaliensisNBRC106472.cluster001|55deb0|10615-10803|9328|68_cluster_HdaliensisNBRC106472.cluster001-3547-Item40-Cond-Item41-A_asp_Fill_0,68_cluster_HdaliensisNBRC106472.cluster001|4de7cc|5448-5631|9365|68_cluster_HdaliensisNBRC106472.cluster001-3548-Item58-Cond-Item59-A_asp_Fill_0
790:93,T,93,'67'@0.013;93,S,79,92@0.93:750,789
789:93,S,79,92@0.93;92,D,92,92@0.0097:773,788
788:92,D,92,92@0.0097;92,T,'70',92@0.47:70_cluster_TLI55.cluster001|1dcea7|1978-2155|9671|70_cluster_TLI55.cluster001-3658-Item5-Cond-Item6-A_no_call_Fill_0,787
787:92,T,'70',92@0.47;92,S,'62',90@1:62_cluster_SspCNQ329.cluster001|288edd|1086-1261|8356|62_cluster_SspCNQ329.cluster001-3213-Item5-Cond-Item6-A_no_call_Fill_0,786
786:92,S,'62',90@1;90,S,89,86@1:778,785
785:90,S,89,86@1;86,S,84,'63'@0.4:781,784
784:86,S,84,'63'@0.4;'63',T,'63','65'@0.2:63_cluster_SspCNQ525.cluster001|47a90b|1085-1261|8451|63_cluster_SspCNQ525.cluster001-3269-Item5-Cond-Item6-A_no_call_Fill_0,65_cluster_SspCNT371.cluster001|e00a01|1085-1261|8752|65_cluster_SspCNT371.cluster001-3381-Item5-Cond-Item6-A_no_call_Fill_0
781:86,S,84,'63'@0.4;84,SL,'65',82@0.4;82,S,'64','66'@1:64_cluster_SspCNQ865.cluster001|1efe89|1085-1261|8655|64_cluster_SspCNQ865.cluster001-3325-Item5-Cond-Item6-A_no_call_Fill_0,66_cluster_SspCNY243.cluster001|26108b|1031-1207|8911|66_cluster_SspCNY243.cluster001-3435-Item5-Cond-Item6-A_no_call_Fill_0
778:90,S,89,86@1;89,S,'33','58'@1:33_cluster_SspCNQ509|c57782|941-1117|4364|33_cluster_SspCNQ509-1691-Item5-Cond-Item6-A_nrp_Fill_0,58_cluster_WAC06738cluster004|1bd006|950-1125|7828|58_cluster_WAC06738cluster004-3020-Item3-Cond-Item4-A_nrp_Fill_0
773:92,D,92,92@0.0097;92,T,92,70@0.027:763,772
772:92,T,92,70@0.027;70,S,69,66@1:766,771
771:70,S,69,66@1;66,T,'13',66@0.5:13_cluster_AspOK074cluster1|2f3ccd|1845-2032|1753|13_cluster_AspOK074cluster1-691-Item35-Cond-Item36-A_nrp_Fill_0,770
770:66,T,'13',66@0.5;66,S,'35','50'@1:35_cluster_SspNRRLS1521-3|4d8679|1837-2025|4652|35_cluster_SspNRRLS1521-1-1760-Item15-Cond-Item16-A_nrp_Fill_0,50_cluster_WAC01529|b2e10b|1846-2034|6718|50_cluster_WAC01529-2568-Item36-Cond-Item37-A_nrp_Fill_0
766:70,S,69,66@1;69,S,'31','32'@1:31_cluster_SluteocolorNRBC13826|26e45e|1838-2024|4150|31_cluster_SluteocolorNRBC13826-1611-Item40-Cond-Item41-A_nrp_Fill_0,32_cluster_Ssilaceus-3|0da9d1|1838-2024|4277|32_cluster_Ssilaceus-1-1656-Item9-Cond-Item10-A_nrp_Fill_0
763:92,T,92,70@0.027;92,TTD,-1,92@0.091:757,762
762:92,TTD,-1,92@0.091;92,S,'62',90@0.13:62_cluster_SspCNQ329.cluster001|288edd|2138-2323|8362|62_cluster_SspCNQ329.cluster001-3213-Item8-Cond-Item9-A_no_call_Fill_0,761
761:92,S,'62',90@0.13;90,SL,86,89@0.13;89,S,'33','58'@1:33_cluster_SspCNQ509|c57782|1994-2185|4370|33_cluster_SspCNQ509-1691-Item8-Cond-Item9-A_val_Fill_0,58_cluster_WAC06738cluster004|1bd006|1999-2187|7834|58_cluster_WAC06738cluster004-3020-Item6-Cond-Item7-A_val_Fill_0
757:92,TTD,-1,92@0.091;-1,TLFD,-1,84@0.44;84,S,'65',82@0.94:65_cluster_SspCNT371.cluster001|e00a01|2132-2317|8758|65_cluster_SspCNT371.cluster001-3381-Item8-Cond-Item9-A_no_call_Fill_0,756
756:84,S,'65',82@0.94;82,T,'63',82@0.47:63_cluster_SspCNQ525.cluster001|47a90b|2129-2314|8457|63_cluster_SspCNQ525.cluster001-3269-Item8-Cond-Item9-A_no_call_Fill_0,755
755:82,T,'63',82@0.47;82,S,'64','66'@1:64_cluster_SspCNQ865.cluster001|1efe89|2132-2317|8661|64_cluster_SspCNQ865.cluster001-3325-Item8-Cond-Item9-A_no_call_Fill_0,66_cluster_SspCNY243.cluster001|26108b|2078-2263|8917|66_cluster_SspCNY243.cluster001-3435-Item8-Cond-Item9-A_no_call_Fill_0
750:93,S,79,92@0.93;79,T,107,79@0.19:176,749
749:79,T,107,79@0.19;79,T,107,79@0.47:179,748
748:79,T,107,79@0.47;79,T,79,107@0.47:744,747
747:79,T,79,107@0.47;107,S,'12','56'@1:12_cluster_ArifDSM43936-3|b905de|1143-1317|1591|12_cluster_ArifDSM43936-1-659-Item3-Cond-Item4-A_nrp_Fill_0,56_cluster_WAC06369|3856d8|1119-1293|7524|56_cluster_WAC06369-2950-Item7-Cond-Item8-A_nrp_Fill_0
744:79,T,79,107@0.47;79,T,79,40@0.23:722,743
743:79,T,79,40@0.23;40,TTD,-1,40@0.5:725,742
742:40,TTD,-1,40@0.5;40,S,36,39@1:738,741
741:40,S,36,39@1;39,S,'18','26'@1:18_cluster_Chloroeremomycin-1|4e2bb9|2381-2563|2387|18_cluster_Chloroeremomycin-1-960-Item7-Cond-Item8-A_asn_Fill_0,26_cluster_KaridNRRLB16535chlor|4e2bb9|2381-2563|3447|26_cluster_KaridNRRLB16535chlor-1354-Item7-Cond-Item8-A_asn_Fill_0
738:40,S,36,39@1;36,S,35,32@1:728,737
737:36,S,35,32@1;32,S,'11',30@0.53:11_cluster_AregGY080|d0f836|2384-2562|1470|11_cluster_AregGY080-601-Item7-Cond-Item8-A_asn_Fill_0,736
736:32,S,'11',30@0.53;30,S,29,26@0.045:03_cluster_AalbaDSM44262|b89e0c|2362-2540|356|03_cluster_AalbaDSM44262-95-Item7-Cond-Item8-A_asn_Fill_0,735
735:30,S,29,26@0.045;26,TTD,-1,26@0.005:09_cluster_AOHO0100074|5a50ae|2378-2556|1216|09_cluster_AOHO0100074-461-Item7-Cond-Item8-A_asn_Fill_0,734
734:26,TTD,-1,26@0.005;26,TLTD,26,-1@0.005;-1,TLFD,-1,9@0.38;9,S,'40','51'@1:40_cluster_Vancomycin|b91546|2379-2557|5207|40_cluster_Vancomycin-1955-Item7-Cond-Item8-A_asn_Fill_0,51_cluster_WAC4169cluster051|ba280c|2381-2559|6827|51_cluster_WAC4169cluster051-2640-Item26-Cond-Item25-A_asn_Fill_0
09_cluster_AOHO0100074|5a50ae|2378-2556|1216|09_cluster_AOHO0100074-461-Item7-Cond-Item8-A_asn_Fill_0:26,TTD,-1,26@0.005;-1,TLFD,-1,'09'@0.38
03_cluster_AalbaDSM44262|b89e0c|2362-2540|356|03_cluster_AalbaDSM44262-95-Item7-Cond-Item8-A_asn_Fill_0:30,S,29,26@0.045;29,SL,'04','03'@0.12
728:36,S,35,32@1;35,S,'05','14'@1:05_cluster_AbalhimycinaFH1894|8cd520|2382-2562|617|05_cluster_AbalhimycinaFH1894-230-Item7-Cond-Item8-A_asn_Fill_0,14_cluster_Balhimycin|c600a7|2382-2562|1887|14_cluster_Balhimycin-708-Item7-Cond-Item8-A_asn_Fill_0
725:40,TTD,-1,40@0.5;-1,DD,-1,-1@0.14:29_cluster_pekiskomycin|cb4f2e|724-906|3815|29_cluster_pekiskomycin-1527-Item7-Cond-Item8-A_leu_Fill_0,47_cluster_WAC1420|6cb684|2399-2580|6269|47_cluster_WAC1420-2415-Item7-Cond-Item8-A_leu_Fill_0
47_cluster_WAC1420|6cb684|2399-2580|6269|47_cluster_WAC1420-2415-Item7-Cond-Item8-A_leu_Fill_0:-1,DD,-1,-1@0.14;-1,TLFD,-1,'47'@0.43
29_cluster_pekiskomycin|cb4f2e|724-906|3815|29_cluster_pekiskomycin-1527-Item7-Cond-Item8-A_leu_Fill_0:-1,DD,-1,-1@0.14;-1,TLFD,-1,'29'@0.43
722:79,T,79,40@0.23;79,T,45,79@0.27:300,721
721:79,T,45,79@0.27;79,S,'42',77@0.82:343,720
720:79,S,'42',77@0.82;77,S,73,76@0.067:474,719
719:77,S,73,76@0.067;76,T,76,92@0.013:667,718
718:76,T,76,92@0.013;92,T,66,92@0.22:676,717
717:92,T,66,92@0.22;92,D,92,92@0.26:689,716
716:92,D,92,92@0.26;92,S,90,'62'@1:702,715
715:92,S,90,'62'@1;'62',T,89,'62'@0.5:705,714
714:'62',T,89,'62'@0.5;'62',T,'62',84@0.5:62_cluster_SspCNQ329.cluster001|d9cd3f|310-487|8382|62_cluster_SspCNQ329.cluster001-3215-Item17-Cond-Item18-A_no_call_Fill_0,713
713:'62',T,'62',84@0.5;84,S,'65',82@1:65_cluster_SspCNT371.cluster001|f326c5|1848-2025|8801|65_cluster_SspCNT371.cluster001-3384-Item28-Cond-Item29-A_no_call_Fill_0,712
712:84,S,'65',82@1;82,S,'66','64'@1:66_cluster_SspCNY243.cluster001|3b57c3|310-487|8939|66_cluster_SspCNY243.cluster001-3437-Item18-Cond-Item19-A_no_call_Fill_0,711
711:82,S,'66','64'@1;'64',T,'63','64'@0.5:63_cluster_SspCNQ525.cluster001|4ed3e5|1848-2025|8500|63_cluster_SspCNQ525.cluster001-3272-Item28-Cond-Item29-A_no_call_Fill_0,64_cluster_SspCNQ865.cluster001|180773|1847-2024|8609|64_cluster_SspCNQ865.cluster001-3328-Item28-Cond-Item29-A_no_call_Fill_0
705:'62',T,89,'62'@0.5;89,S,'33','58'@1:33_cluster_SspCNQ509|68d264|310-487|4392|33_cluster_SspCNQ509-1693-Item18-Cond-Item19-A_nrp_Fill_0,58_cluster_WAC06738cluster004|bcc467|310-487|7853|58_cluster_WAC06738cluster004-3022-Item15-Cond-Item16-A_nrp_Fill_0
702:92,S,90,'62'@1;90,S,89,86@1:694,701
701:90,S,89,86@1;86,S,'63',84@1:63_cluster_SspCNQ525.cluster001|a73d35|310-491|8479|63_cluster_SspCNQ525.cluster001-3271-Item18-Cond-Item19-A_no_call_Fill_0,700
700:86,S,'63',84@1;84,S,'65',82@1:65_cluster_SspCNT371.cluster001|830555|310-491|8780|65_cluster_SspCNT371.cluster001-3383-Item18-Cond-Item19-A_no_call_Fill_0,699
699:84,S,'65',82@1;82,S,'64','66'@1:64_cluster_SspCNQ865.cluster001|1b0239|310-491|8683|64_cluster_SspCNQ865.cluster001-3327-Item18-Cond-Item19-A_no_call_Fill_0,66_cluster_SspCNY243.cluster001|731b10|1852-2033|8960|66_cluster_SspCNY243.cluster001-3438-Item28-Cond-Item29-A_no_call_Fill_0
694:90,S,89,86@1;89,T,'62',89@0.5:62_cluster_SspCNQ329.cluster001|f73c1e|1841-2022|8309|62_cluster_SspCNQ329.cluster001-3216-Item26-Cond-Item27-A_no_call_Fill_0,693
693:89,T,'62',89@0.5;89,S,'33','58'@1:33_cluster_SspCNQ509|436ed9|1840-2021|4413|33_cluster_SspCNQ509-1694-Item28-Cond-Item29-A_nrp_Fill_0,58_cluster_WAC06738cluster004|d9a549|1840-2021|7874|58_cluster_WAC06738cluster004-3023-Item25-Cond-Item26-A_nrp_Fill_0
689:92,D,92,92@0.26;92,S,'62',90@1:62_cluster_SspCNQ329.cluster001|7c2c30|305-485|8330|62_cluster_SspCNQ329.cluster001-3217-Item36-Cond-Item37-A_no_call_Fill_0,688
688:92,S,'62',90@1;90,S,89,86@1:680,687
687:90,S,89,86@1;86,TTD,-1,86@1:66_cluster_SspCNY243.cluster001|fe4486|305-485|8980|66_cluster_SspCNY243.cluster001-3439-Item38-Cond-Item39-A_no_call_Fill_0,686
686:86,TTD,-1,86@1;86,S,84,'63'@1:65_cluster_SspCNT371.cluster001|25c062|305-485|8821|65_cluster_SspCNT371.cluster001-3385-Item38-Cond-Item39-A_no_call_Fill_0,685
685:86,S,84,'63'@1;'63',T,'63','64'@0.5:63_cluster_SspCNQ525.cluster001|286c95|305-485|8520|63_cluster_SspCNQ525.cluster001-3273-Item38-Cond-Item39-A_no_call_Fill_0,64_cluster_SspCNQ865.cluster001|c6a231|305-485|8629|64_cluster_SspCNQ865.cluster001-3329-Item38-Cond-Item39-A_no_call_Fill_0
65_cluster_SspCNT371.cluster001|25c062|305-485|8821|65_cluster_SspCNT371.cluster001-3385-Item38-Cond-Item39-A_no_call_Fill_0:86,S,84,'63'@1;84,SL,82,'65'@1
66_cluster_SspCNY243.cluster001|fe4486|305-485|8980|66_cluster_SspCNY243.cluster001-3439-Item38-Cond-Item39-A_no_call_Fill_0:86,TTD,-1,86@1;-1,TLFD,-1,'66'@1
680:90,S,89,86@1;89,S,'33','58'@1:33_cluster_SspCNQ509|511064|305-484|4434|33_cluster_SspCNQ509-1695-Item38-Cond-Item39-A_nrp_Fill_0,58_cluster_WAC06738cluster004|67b8a2|305-484|7808|58_cluster_WAC06738cluster004-3024-Item35-Cond-Item36-A_nrp_Fill_0
676:92,T,66,92@0.22;66,S,'35','50'@1:35_cluster_SspNRRLS1521-3|4d8679|307-487|4644|35_cluster_SspNRRLS1521-1-1760-Item11-Cond-Item12-A_tyr_Fill_0,675
675:66,S,'35','50'@1;'50',T,69,'50'@0.5:671,674
674:'50',T,69,'50'@0.5;'50',T,'13','50'@0.5:13_cluster_AspOK074cluster1|2f3ccd|307-487|1745|13_cluster_AspOK074cluster1-691-Item31-Cond-Item32-A_nrp_Fill_0,50_cluster_WAC01529|b2e10b|307-487|6710|50_cluster_WAC01529-2568-Item32-Cond-Item33-A_nrp_Fill_0
671:'50',T,69,'50'@0.5;69,S,'31','32'@1:31_cluster_SluteocolorNRBC13826|26e45e|307-487|4142|31_cluster_SluteocolorNRBC13826-1611-Item36-Cond-Item37-A_nrp_Fill_0,32_cluster_Ssilaceus-3|0da9d1|307-487|4269|32_cluster_Ssilaceus-1-1656-Item5-Cond-Item6-A_nrp_Fill_0
667:76,T,76,92@0.013;76,TTD,76,-1@0.11:629,666
666:76,TTD,76,-1@0.11;-1,DD,-1,-1@0.53:71_cluster_Kistamicin|011102|354-523|9849|71_cluster_Kistamicin-3711-Item6-Cond-Item7-A_no_call_Fill_0,665
665:-1,DD,-1,-1@0.53;-1,DD,-1,-1@0.41:07_cluster_AkerFH1893nogabecin|13612f|312-487|887|07_cluster_AkerFH1893nogabecin-339-Item8-Cond-Item9-A_phe_Fill_0,664
664:-1,DD,-1,-1@0.41;-1,DD,-1,-1@0.29:644,663
663:-1,DD,-1,-1@0.29;-1,DD,-1,-1@0.11:649,662
662:-1,DD,-1,-1@0.11;-1,TLFD,-1,19@0.37;19,S,'52','08'@1:52_cluster_WAC4182cluster089|c61315|308-479|7059|52_cluster_WAC4182cluster089-2742-Item26-Cond-Item25-A_dhpg_Fill_0,661
661:19,S,'52','08'@1;'08',T,6,'08'@0.5:657,660
660:'08',T,6,'08'@0.5;'08',T,'08','55'@0.5:08_cluster_AlurRistocetin|abf26e|284-455|1014|08_cluster_AlurRistocetin-430-Item26-Cond-Item25-A_dpg_Fill_0,55_cluster_WAC05977|95f0b5|284-455|7462|55_cluster_WAC05977-2903-Item7-Cond-Item8-A_dhpg_Fill_0
657:'08',T,6,'08'@0.5;6,S,'06',4@1:06_cluster_Ajap-Ristocetin|276c55|307-480|765|06_cluster_Ajap-Ristocetin-285-Item8-Cond-Item9-A_dpg_Fill_0,656
656:6,S,'06',4@1;4,S,'53',2@1:53_cluster_WAC4197cluster073|41ac20|288-461|7214|53_cluster_WAC4197cluster073-2788-Item7-Cond-Item8-A_dhpg_Fill_0,655
655:4,S,'53',2@1;2,S,'25','27'@1:25_cluster_JPLW01000007|e2e0bc|307-480|3288|25_cluster_JPLW01000007-1282-Item8-Cond-Item9-A_dpg_Fill_0,27_cluster_KF882511-Ristocetin|e2e0bc|307-480|3592|27_cluster_KF882511-Ristocetin-1415-Item8-Cond-Item9-A_dpg_Fill_0
649:-1,DD,-1,-1@0.11;-1,TLFD,-1,25@0.37;25,S,'45',23@1:45_cluster_WAC1376cluster143|6396c3|291-464|5869|45_cluster_WAC1376cluster143-2262-Item25-Cond-Item24-A_dhpg_Fill_0,648
648:25,S,'45',23@1;23,S,'44','46'@1:44_cluster_WAC1375|86eb70|287-460|5667|44_cluster_WAC1375-2128-Item7-Cond-Item8-A_dpg_Fill_0,46_cluster_WAC1416cluster068|4017ae|291-464|6078|46_cluster_WAC1416cluster068-2305-Item7-Cond-Item8-A_dhpg_Fill_0
644:-1,DD,-1,-1@0.29;-1,DD,-1,-1@0.18:636,643
643:-1,DD,-1,-1@0.18;-1,DD,-1,-1@0.059:639,642
642:-1,DD,-1,-1@0.059;-1,DD,-1,-1@0.12:48_cluster_WAC1424cluster109|3f00df|291-464|6364|48_cluster_WAC1424cluster109-2484-Item24-Cond-Item23-A_dhpg_Fill_0,02_cluster_A47934|cfe15e|288-463|151|02_cluster_A47934-64-Item10-Cond-Item11-A_dpg_Fill_0
02_cluster_A47934|cfe15e|288-463|151|02_cluster_A47934-64-Item10-Cond-Item11-A_dpg_Fill_0:-1,DD,-1,-1@0.12;-1,TLFD,-1,'02'@0.4
48_cluster_WAC1424cluster109|3f00df|291-464|6364|48_cluster_WAC1424cluster109-2484-Item24-Cond-Item23-A_dhpg_Fill_0:-1,DD,-1,-1@0.12;-1,TLFD,-1,'48'@0.4
639:-1,DD,-1,-1@0.059;-1,TLFD,-1,43@0.059;43,S,'39','60'@0.65:39_cluster_UK68597|b35ee4|311-486|5099|39_cluster_UK68597-1910-Item7-Cond-Item8-A_dpg_Fill_0,60_cluster_AsubtropicusNRRLB24665|33354c|311-486|8061|60_cluster_AsubtropicusNRRLB24665-3099-Item8-Cond-Item9-A_dhpg_Fill_0
636:-1,DD,-1,-1@0.18;-1,DD,-1,-1@0.12:04_cluster_AazureaDSM43854|058076|311-486|481|04_cluster_AazureaDSM43854-158-Item7-Cond-Item8-A_dhpg_Fill_0,635
635:-1,DD,-1,-1@0.12;-1,DD,-1,-1@0.053:01_cluster_A40926|b69bf0|290-465|95|01_cluster_A40926-13-Item7-Cond-Item6-A_dpg_Fill_0,28_cluster_NcoxDSM45129|4a58b3|310-485|3712|28_cluster_NcoxDSM45129-1494-Item11-Cond-Item12-A_dhpg_Fill_0
28_cluster_NcoxDSM45129|4a58b3|310-485|3712|28_cluster_NcoxDSM45129-1494-Item11-Cond-Item12-A_dhpg_Fill_0:-1,DD,-1,-1@0.053;-1,TLFD,-1,'28'@0.4
01_cluster_A40926|b69bf0|290-465|95|01_cluster_A40926-13-Item7-Cond-Item6-A_dpg_Fill_0:-1,DD,-1,-1@0.053;-1,TLFD,-1,'01'@0.23
04_cluster_AazureaDSM43854|058076|311-486|481|04_cluster_AazureaDSM43854-158-Item7-Cond-Item8-A_dhpg_Fill_0:-1,DD,-1,-1@0.12;-1,TLFD,-1,'04'@0.44
07_cluster_AkerFH1893nogabecin|13612f|312-487|887|07_cluster_AkerFH1893nogabecin-339-Item8-Cond-Item9-A_phe_Fill_0:-1,DD,-1,-1@0.41;-1,TLFD,-1,'07'@1
71_cluster_Kistamicin|011102|354-523|9849|71_cluster_Kistamicin-3711-Item6-Cond-Item7-A_no_call_Fill_0:-1,DD,-1,-1@0.53;-1,TLFD,-1,'71'@0.65
629:76,TTD,76,-1@0.11;76,T,76,45@0.023:561,628
628:76,T,76,45@0.023;45,TTD,-1,45@0.46:566,627
627:45,TTD,-1,45@0.46;45,TTD,-1,45@0.73:71_cluster_Kistamicin|492fcd|490-656|9840|71_cluster_Kistamicin-3710-Item2-Cond-Item3-A_no_call_Fill_0,626
