868:93,S,92,79@0.98:376,867
867:93,S,92,79@0.98;79,S,'42',77@1:419,866
843:'49',D,'49','49'@1;'49',D,'49','49'@1:49_cluster_WAC1438rc4d|f4aa9d|302-498|6544|49_cluster_WAC1438rc4d-2522-Item52-Cond-Item53-A_asn_Fill_0,842
842:'49',D,'49','49'@1;'49',D,'49','49'@1:49_cluster_WAC1438rc4d|f4aa9d|5655-5842|6574|49_cluster_WAC1438rc4d-2522-Item67-Cond-Item68-A_nrp_Fill_0,841
841:'49',D,'49','49'@1;'49',D,'49','49'@1:49_cluster_WAC1438rc4d|d6be1d|3514-3701|6461|49_cluster_WAC1438rc4d-2521-Item46-Cond-Item47-A_asp_Fill_0,49_cluster_WAC1438rc4d|da5867|8881-9068|6522|49_cluster_WAC1438rc4d-2520-Item28-Cond-Item29-A_asp_Fill_0
836:'49',D,'49','49'@1;'49',D,'49','49'@1:49_cluster_WAC1438rc4d|da5867|1363-1552|6480|49_cluster_WAC1438rc4d-2520-Item7-Cond-Item8-A_ser_Fill_0,835
835:'49',D,'49','49'@1;'49',D,'49','49'@1:49_cluster_WAC1438rc4d|f4aa9d|3527-3715|6562|49_cluster_WAC1438rc4d-2522-Item61-Cond-Item62-A_nrp_Fill_0,834
834:'49',D,'49','49'@1;'49',D,'49','49'@1:49_cluster_WAC1438rc4d|f4aa9d|2469-2657|6556|49_cluster_WAC1438rc4d-2522-Item58-Cond-Item59-A_hpg_Fill_0,833
833:'49',D,'49','49'@1;'49',D,'49','49'@1:49_cluster_WAC1438rc4d|d6be1d|302-494|6443|49_cluster_WAC1438rc4d-2521-Item37-Cond-Item38-A_hpg_Fill_0,49_cluster_WAC1438rc4d|da5867|7826-8015|6516|49_cluster_WAC1438rc4d-2520-Item25-Cond-Item26-A_hpg_Fill_0
827:'49',T,'68','49'@0.11;'68',T,'69','68'@0.41:69_cluster_MchersinaDSM44151|89c115|6680-6869|9541|69_cluster_MchersinaDSM44151-3597-Item47-Cond-Item48-A_ala_Fill_0,826
826:'68',T,'69','68'@0.41;'68',T,'68','67'@0.35:820,825
825:'68',T,'68','67'@0.35;'67',T,'67','68'@0.65:67_cluster_STLI053.cluster001|e171e6|2433-2622|9129|67_cluster_STLI053.cluster001-3498-Item39-Cond-Item40-A_thr_Fill_0,824
824:'67',T,'67','68'@0.65;'68',D,'68','68'@1:68_cluster_HdaliensisNBRC106472.cluster001|55deb0|7501-7683|9310|68_cluster_HdaliensisNBRC106472.cluster001-3547-Item31-Cond-Item32-A_no_call_Fill_0,68_cluster_HdaliensisNBRC106472.cluster001|77aaf4|1315-1504|9252|68_cluster_HdaliensisNBRC106472.cluster001-3532-Item4-Cond-Item5-A_asp_Fill_0
820:'68',T,'68','67'@0.35;'68',D,'68','68'@1:816,819
819:'68',D,'68','68'@1;'68',D,'68','68'@1:68_cluster_HdaliensisNBRC106472.cluster001|55deb0|2375-2558|9280|68_cluster_HdaliensisNBRC106472.cluster001-3547-Item16-Cond-Item17-A_ser_Fill_0,68_cluster_HdaliensisNBRC106472.cluster001|4de7cc|302-484|9335|68_cluster_HdaliensisNBRC106472.cluster001-3548-Item43-Cond-Item44-A_asn_Fill_0
816:'68',D,'68','68'@1;'68',D,'68','68'@1:68_cluster_HdaliensisNBRC106472.cluster001|55deb0|301-484|9268|68_cluster_HdaliensisNBRC106472.cluster001-3547-Item10-Cond-Item11-A_no_call_Fill_0,815
815:'68',D,'68','68'@1;'68',D,'68','68'@1:68_cluster_HdaliensisNBRC106472.cluster001|4de7cc|7537-7724|9377|68_cluster_HdaliensisNBRC106472.cluster001-3548-Item64-Cond-Item65-A_asp_Fill_0,814
814:'68',D,'68','68'@1;'68',D,'68','68'@1:804,813
813:'68',D,'68','68'@1;'68',D,'68','68'@1:807,812
812:'68',D,'68','68'@1;'68',D,'68','68'@1:68_cluster_HdaliensisNBRC106472.cluster001|55deb0|8520-8705|9316|68_cluster_HdaliensisNBRC106472.cluster001-3547-Item34-Cond-Item35-A_no_call_Fill_0,811
811:'68',D,'68','68'@1;'68',D,'68','68'@1:68_cluster_HdaliensisNBRC106472.cluster001|4de7cc|6452-6642|9371|68_cluster_HdaliensisNBRC106472.cluster001-3548-Item61-Cond-Item62-A_no_call_Fill_0,68_cluster_HdaliensisNBRC106472.cluster001|4de7cc|2324-2503|9347|68_cluster_HdaliensisNBRC106472.cluster001-3548-Item49-Cond-Item50-A_no_call_Fill_0
807:'68',D,'68','68'@1;'68',D,'68','68'@1:68_cluster_HdaliensisNBRC106472.cluster001|55deb0|9568-9758|9322|68_cluster_HdaliensisNBRC106472.cluster001-3547-Item37-Cond-Item38-A_tyr_Fill_0,68_cluster_HdaliensisNBRC106472.cluster001|4de7cc|1309-1499|9341|68_cluster_HdaliensisNBRC106472.cluster001-3548-Item46-Cond-Item47-A_tyr_Fill_0
804:'68',D,'68','68'@1;'68',D,'68','68'@1:68_cluster_HdaliensisNBRC106472.cluster001|55deb0|1346-1540|9274|68_cluster_HdaliensisNBRC106472.cluster001-3547-Item13-Cond-Item14-A_asp_Fill_0,803
803:'68',D,'68','68'@1;'68',D,'68','68'@1:68_cluster_HdaliensisNBRC106472.cluster001|4de7cc|4417-4608|9359|68_cluster_HdaliensisNBRC106472.cluster001-3548-Item55-Cond-Item56-A_asp_Fill_0,68_cluster_HdaliensisNBRC106472.cluster001|55deb0|5498-5690|9298|68_cluster_HdaliensisNBRC106472.cluster001-3547-Item25-Cond-Item26-A_no_call_Fill_0
796:'67',T,'67','49'@0.09;'67',T,'67','69'@0.39:67_cluster_STLI053.cluster001|e171e6|4550-4742|9141|67_cluster_STLI053.cluster001-3498-Item45-Cond-Item46-A_gly_Fill_0,795
795:'67',T,'67','69'@0.39;'69',T,'69','67'@0.5:787,794
794:'69',T,'69','67'@0.5;'67',T,'67','69'@0.38:790,793
793:'67',T,'67','69'@0.38;'69',T,'67','69'@0.62:67_cluster_STLI053.cluster001|4e2fef|343-531|9076|67_cluster_STLI053.cluster001-3497-Item13-Cond-Item14-A_no_call_Fill_0,69_cluster_MchersinaDSM44151|60540f|341-529|9464|69_cluster_MchersinaDSM44151-3596-Item9-Cond-Item10-A_hpg_Fill_0
790:'67',T,'67','69'@0.38;'67',D,'67','67'@1:67_cluster_STLI053.cluster001|4e2fef|4621-4816|9100|67_cluster_STLI053.cluster001-3497-Item25-Cond-Item26-A_no_call_Fill_0,67_cluster_STLI053.cluster001|e171e6|6698-6891|9153|67_cluster_STLI053.cluster001-3498-Item51-Cond-Item52-A_no_call_Fill_0
787:'69',T,'69','67'@0.5;'69',D,'69','69'@1:69_cluster_MchersinaDSM44151|89c115|2432-2624|9517|69_cluster_MchersinaDSM44151-3597-Item35-Cond-Item36-A_thr_Fill_0,786
786:'69',D,'69','69'@1;'69',D,'69','69'@1:69_cluster_MchersinaDSM44151|89c115|4547-4741|9529|69_cluster_MchersinaDSM44151-3597-Item41-Cond-Item42-A_gly_Fill_0,69_cluster_MchersinaDSM44151|60540f|4613-4806|9488|69_cluster_MchersinaDSM44151-3596-Item21-Cond-Item22-A_hpg_Fill_0
781:'67',T,'69','67'@0.12;'69',T,'67','69'@0.51:67_cluster_STLI053.cluster001|4e2fef|6344-6535|9110|67_cluster_STLI053.cluster001-3497-Item30-Cond-Item31-A_phe_Fill_0,69_cluster_MchersinaDSM44151|60540f|6239-6428|9498|69_cluster_MchersinaDSM44151-3596-Item26-Cond-Item27-A_phe_Fill_0
778:'13',T,'13','67'@0.27;'13',T,'13','70'@0.63:764,777
777:'13',T,'13','70'@0.63;'70',D,'70','70'@1:70_cluster_TLI55.cluster001|412004|3436-3628|9702|70_cluster_TLI55.cluster001-3659-Item20-Cond-Item21-A_tyr_Fill_0,776
776:'70',D,'70','70'@1;'70',D,'70','70'@1:772,775
775:'70',D,'70','70'@1;'70',D,'70','70'@1:70_cluster_TLI55.cluster001|412004|6559-6750|9720|70_cluster_TLI55.cluster001-3659-Item29-Cond-Item30-A_no_call_Fill_0,70_cluster_TLI55.cluster001|412004|5518-5708|9714|70_cluster_TLI55.cluster001-3659-Item26-Cond-Item27-A_no_call_Fill_0
772:'70',D,'70','70'@1;'70',D,'70','70'@1:70_cluster_TLI55.cluster001|412004|7609-7799|9726|70_cluster_TLI55.cluster001-3659-Item32-Cond-Item33-A_no_call_Fill_0,771
771:'70',D,'70','70'@1;'70',D,'70','70'@1:70_cluster_TLI55.cluster001|412004|4481-4671|9708|70_cluster_TLI55.cluster001-3659-Item23-Cond-Item24-A_no_call_Fill_0,770
770:'70',D,'70','70'@1;'70',D,'70','70'@1:70_cluster_TLI55.cluster001|412004|1352-1542|9690|70_cluster_TLI55.cluster001-3659-Item14-Cond-Item15-A_no_call_Fill_0,70_cluster_TLI55.cluster001|412004|2397-2586|9696|70_cluster_TLI55.cluster001-3659-Item17-Cond-Item18-A_no_call_Fill_0
764:'13',T,'13','70'@0.63;'13',T,69,'13'@0.32:756,763
763:'13',T,69,'13'@0.32;'13',T,'13',69@0.39:13_cluster_AspOK074cluster1|4c3536|1041-1231|1779|13_cluster_AspOK074cluster1-687-Item9-Cond-Item10-A_trp_Fill_0,762
762:'13',T,'13',69@0.39;69,T,'50',69@0.54:50_cluster_WAC01529|abd45d|2464-2657|6661|50_cluster_WAC01529-2565-Item9-Cond-Item10-A_trp_Fill_0,761
761:69,T,'50',69@0.54;69,S,'31','32'@1:31_cluster_SluteocolorNRBC13826|ba0325|3451-3644|4091|31_cluster_SluteocolorNRBC13826-1608-Item13-Cond-Item14-A_trp_Fill_0,32_cluster_Ssilaceus-1|7cf6a6|3451-3644|4206|32_cluster_Ssilaceus-1-1651-Item13-Cond-Item14-A_trp_Fill_0
756:'13',T,69,'13'@0.32;69,T,'50',69@0.61:50_cluster_WAC01529|abd45d|1400-1590|6655|50_cluster_WAC01529-2565-Item6-Cond-Item7-A_nrp_Fill_0,755
755:69,T,'50',69@0.61;69,D,69,69@1:751,754
754:69,D,69,69@1;69,S,'31','32'@1:31_cluster_SluteocolorNRBC13826|ba0325|2388-2577|4085|31_cluster_SluteocolorNRBC13826-1608-Item10-Cond-Item11-A_nrp_Fill_0,32_cluster_Ssilaceus-1|7cf6a6|2388-2577|4200|32_cluster_Ssilaceus-1-1651-Item10-Cond-Item11-A_nrp_Fill_0
751:69,D,69,69@1;69,S,'31','32'@1:31_cluster_SluteocolorNRBC13826|ba0325|1324-1514|4079|31_cluster_SluteocolorNRBC13826-1608-Item7-Cond-Item8-A_nrp_Fill_0,32_cluster_Ssilaceus-1|7cf6a6|1324-1514|4194|32_cluster_Ssilaceus-1-1651-Item7-Cond-Item8-A_nrp_Fill_0
747:'13',T,107,'13'@0.63;107,D,107,107@1:739,746
746:107,D,107,107@1;107,D,107,107@1:742,745
745:107,D,107,107@1;107,S,'12','56'@1:12_cluster_ArifDSM43936-2|ff535b|3400-3594|1580|12_cluster_ArifDSM43936-1-658-Item20-Cond-Item21-A_ser_Fill_0,56_cluster_WAC06369|6e6f2f|3400-3594|7613|56_cluster_WAC06369-2953-Item50-Cond-Item51-A_ser_Fill_0
742:107,D,107,107@1;107,S,'12','56'@1:12_cluster_ArifDSM43936-4|04fca8|3582-3777|1660|12_cluster_ArifDSM43936-1-661-Item11-Cond-Item12-A_nrp_Fill_0,56_cluster_WAC06369|6e6f2f|8631-8826|7643|56_cluster_WAC06369-2953-Item65-Cond-Item66-A_nrp_Fill_0
739:107,D,107,107@1;107,D,107,107@1:723,738
738:107,D,107,107@1;107,D,107,107@1:726,737
737:107,D,107,107@1;107,D,107,107@1:729,736
736:107,D,107,107@1;107,D,107,107@1:732,735
735:107,D,107,107@1;107,S,'12','56'@1:12_cluster_ArifDSM43936-4|04fca8|1504-1782|1648|12_cluster_ArifDSM43936-1-661-Item5-Cond-Item6-A_nrp_Fill_0,56_cluster_WAC06369|6e6f2f|6553-6831|7631|56_cluster_WAC06369-2953-Item59-Cond-Item60-A_nrp_Fill_0
732:107,D,107,107@1;107,S,'12','56'@1:12_cluster_ArifDSM43936-3|b905de|1974-2248|1597|12_cluster_ArifDSM43936-1-659-Item6-Cond-Item7-A_nrp_Fill_0,56_cluster_WAC06369|3856d8|1950-2224|7530|56_cluster_WAC06369-2950-Item10-Cond-Item11-A_nrp_Fill_0
729:107,D,107,107@1;107,S,'12','56'@1:12_cluster_ArifDSM43936-2|ff535b|2362-2553|1574|12_cluster_ArifDSM43936-1-658-Item17-Cond-Item18-A_nrp_Fill_0,56_cluster_WAC06369|6e6f2f|2362-2553|7607|56_cluster_WAC06369-2953-Item47-Cond-Item48-A_nrp_Fill_0
726:107,D,107,107@1;107,S,'12','56'@1:12_cluster_ArifDSM43936-2|ff535b|1328-1606|1568|12_cluster_ArifDSM43936-1-658-Item14-Cond-Item15-A_nrp_Fill_0,56_cluster_WAC06369|6e6f2f|1328-1606|7601|56_cluster_WAC06369-2953-Item44-Cond-Item45-A_nrp_Fill_0
723:107,D,107,107@1;107,D,107,107@1:717,722
722:107,D,107,107@1;107,S,'56','12'@1:56_cluster_WAC06369|6e6f2f|4443-4636|7619|56_cluster_WAC06369-2953-Item53-Cond-Item54-A_nrp_Fill_0,721
721:107,S,'56','12'@1;'12',T,'12','56'@1:12_cluster_ArifDSM43936-2|6da040|2132-2320|1551|12_cluster_ArifDSM43936-1-657-Item6-Cond-Item7-A_nrp_Fill_0,56_cluster_WAC06369|394215|2402-2590|7584|56_cluster_WAC06369-2952-Item36-Cond-Item37-A_nrp_Fill_0
717:107,D,107,107@1;107,S,'12','56'@1:12_cluster_ArifDSM43936-4|04fca8|2542-2736|1654|12_cluster_ArifDSM43936-1-661-Item8-Cond-Item9-A_nrp_Fill_0,56_cluster_WAC06369|6e6f2f|7591-7785|7637|56_cluster_WAC06369-2953-Item62-Cond-Item63-A_nrp_Fill_0
714:'13',T,107,'13'@0.63;107,D,107,107@1:710,713
713:107,D,107,107@1;107,S,'12','56'@1:12_cluster_ArifDSM43936-4|04fca8|430-636|1642|12_cluster_ArifDSM43936-1-661-Item2-Cond-Item3-A_nrp_Fill_0,56_cluster_WAC06369|6e6f2f|5479-5685|7625|56_cluster_WAC06369-2953-Item56-Cond-Item57-A_nrp_Fill_0
710:107,D,107,107@1;107,S,'12','56'@1:12_cluster_ArifDSM43936-2|6da040|1059-1248|1545|12_cluster_ArifDSM43936-1-657-Item3-Cond-Item4-A_thr_Fill_0,56_cluster_WAC06369|394215|1329-1518|7578|56_cluster_WAC06369-2952-Item33-Cond-Item34-A_thr_Fill_0
707:63,S,61,'13'@0.63;61,S,55,60@0.3:699,706
706:61,S,55,60@0.3;60,S,'29',58@0.055:68_cluster_HdaliensisNBRC106472.cluster001|77aaf4|295-465|9246|68_cluster_HdaliensisNBRC106472.cluster001-3532-Item1-Cond-Item2-A_no_call_Fill_0,705
705:60,S,'29',58@0.055;58,S,'49','02'@0.082:49_cluster_WAC1438rc4d|da5867|303-484|6474|49_cluster_WAC1438rc4d-2520-Item4-Cond-Item5-A_hpg_Fill_0,704
704:58,S,'49','02'@0.082;'02',TL,'02','67'@0.021;'67',T,'67','69'@0.47:67_cluster_STLI053.cluster001|3a97f0|300-481|9063|67_cluster_STLI053.cluster001-3496-Item7-Cond-Item8-A_asp_Fill_0,69_cluster_MchersinaDSM44151|4931ca|301-482|9451|69_cluster_MchersinaDSM44151-3595-Item3-Cond-Item4-A_asn_Fill_0
68_cluster_HdaliensisNBRC106472.cluster001|77aaf4|295-465|9246|68_cluster_HdaliensisNBRC106472.cluster001-3532-Item1-Cond-Item2-A_no_call_Fill_0:60,S,'29',58@0.055;'29',TL,'29','68'@0.055
699:61,S,55,60@0.3;55,T,76,55@0.38:687,698
698:55,T,76,55@0.38;55,T,'42',55@0.47:42_cluster_WAC00631|27de41|303-486|5427|42_cluster_WAC00631-2040-Item1-Cond-Item2-A_hpg_Fill_0,697
697:55,T,'42',55@0.47;55,T,55,70@0.55:70_cluster_TLI55.cluster001|1dcea7|327-506|9663|70_cluster_TLI55.cluster001-3658-Item1-Cond-Item2-A_no_call_Fill_0,696
696:55,T,55,70@0.55;70,S,69,66@0.63:692,695
695:70,S,69,66@0.63;66,S,'35','50'@1:35_cluster_SspNRRLS1521-1|1f6808|311-494|4595|35_cluster_SspNRRLS1521-1-1756-Item3-Cond-Item4-A_hpg_Fill_0,50_cluster_WAC01529|abd45d|333-516|6649|50_cluster_WAC01529-2565-Item3-Cond-Item4-A_hpg_Fill_0
692:70,S,69,66@0.63;69,S,'31','32'@1:31_cluster_SluteocolorNRBC13826|ba0325|262-449|4073|31_cluster_SluteocolorNRBC13826-1608-Item4-Cond-Item5-A_nrp_Fill_0,32_cluster_Ssilaceus-1|7cf6a6|262-449|4188|32_cluster_Ssilaceus-1-1651-Item4-Cond-Item5-A_nrp_Fill_0
70_cluster_TLI55.cluster001|1dcea7|327-506|9663|70_cluster_TLI55.cluster001-3658-Item1-Cond-Item2-A_no_call_Fill_0:55,T,55,70@0.55;55,SL,53,'70'@0.63
687:55,T,76,55@0.38;76,S,'57','59'@1:57_cluster_WAC06725|09ed46|321-502|7678|57_cluster_WAC06725-2976-Item1-Cond-Item2-A_no_call_Fill_0,59_cluster_WAC06783|64e4a6|305-486|7925|59_cluster_WAC06783-3057-Item1-Cond-Item2-A_hpg_Fill_0
684:63,T,'68',63@0.4;'68',T,'68','69'@0.23:68_cluster_HdaliensisNBRC106472.cluster001|77aaf4|2377-2557|9258|68_cluster_HdaliensisNBRC106472.cluster001-3532-Item7-Cond-Item8-A_asp_Fill_0,683
683:'68',T,'68','69'@0.23;'69',T,'69','67'@0.14:631,682
682:'69',T,'69','67'@0.14;'67',T,'67','49'@0.2:656,681
681:'67',T,'67','49'@0.2;'49',T,'49','69'@0.28:677,680
680:'49',T,'49','69'@0.28;'69',T,'67','69'@0.5:67_cluster_STLI053.cluster001|4e2fef|2510-2689|9088|67_cluster_STLI053.cluster001-3497-Item19-Cond-Item20-A_no_call_Fill_0,69_cluster_MchersinaDSM44151|60540f|1419-1599|9470|69_cluster_MchersinaDSM44151-3596-Item12-Cond-Item13-A_nrp_Fill_0
677:'49',T,'49','69'@0.28;'49',D,'49','49'@1:659,676
676:'49',D,'49','49'@1;'49',D,'49','49'@1:49_cluster_WAC1438rc4d|f4aa9d|4603-4784|6568|49_cluster_WAC1438rc4d-2522-Item64-Cond-Item65-A_phe_Fill_0,675
675:'49',D,'49','49'@1;'49',D,'49','49'@1:663,674
674:'49',D,'49','49'@1;'49',D,'49','49'@1:49_cluster_WAC1438rc4d|da5867|4580-4762|6498|49_cluster_WAC1438rc4d-2520-Item16-Cond-Item17-A_nrp_Fill_0,673
673:'49',D,'49','49'@1;'49',D,'49','49'@1:669,672
672:'49',D,'49','49'@1;'49',D,'49','49'@1:49_cluster_WAC1438rc4d|d6be1d|2464-2645|6455|49_cluster_WAC1438rc4d-2521-Item43-Cond-Item44-A_nrp_Fill_0,49_cluster_WAC1438rc4d|d6be1d|4592-4786|6467|49_cluster_WAC1438rc4d-2521-Item49-Cond-Item50-A_ser_Fill_0
669:'49',D,'49','49'@1;'49',D,'49','49'@1:49_cluster_WAC1438rc4d|f4aa9d|6743-6936|6580|49_cluster_WAC1438rc4d-2522-Item70-Cond-Item71-A_ser_Fill_0,668
668:'49',D,'49','49'@1;'49',D,'49','49'@1:49_cluster_WAC1438rc4d|da5867|11020-11202|6534|49_cluster_WAC1438rc4d-2520-Item34-Cond-Item35-A_ser_Fill_0,49_cluster_WAC1438rc4d|f4aa9d|1404-1601|6550|49_cluster_WAC1438rc4d-2522-Item55-Cond-Item56-A_ser_Fill_0
663:'49',D,'49','49'@1;'49',D,'49','49'@1:49_cluster_WAC1438rc4d|da5867|9952-10133|6528|49_cluster_WAC1438rc4d-2520-Item31-Cond-Item32-A_hpg_Fill_0,49_cluster_WAC1438rc4d|d6be1d|1382-1566|6449|49_cluster_WAC1438rc4d-2521-Item40-Cond-Item41-A_nrp_Fill_0
659:'49',D,'49','49'@1;'49',D,'49','49'@1:49_cluster_WAC1438rc4d|da5867|2449-2630|6486|49_cluster_WAC1438rc4d-2520-Item10-Cond-Item11-A_nrp_Fill_0,49_cluster_WAC1438rc4d|da5867|3514-3698|6492|49_cluster_WAC1438rc4d-2520-Item13-Cond-Item14-A_asp_Fill_0
656:'67',T,'67','49'@0.2;'67',D,'67','67'@0.29:642,655
655:'67',D,'67','67'@0.29;'67',T,'67','69'@0.37:67_cluster_STLI053.cluster001|4e2fef|1415-1605|9082|67_cluster_STLI053.cluster001-3497-Item16-Cond-Item17-A_glu_Fill_0,654
654:'67',T,'67','69'@0.37;'69',T,'67','69'@0.41:650,653
653:'69',T,'67','69'@0.41;'69',D,'69','69'@1:69_cluster_MchersinaDSM44151|89c115|3515-3692|9523|69_cluster_MchersinaDSM44151-3597-Item38-Cond-Item39-A_nrp_Fill_0,69_cluster_MchersinaDSM44151|60540f|2491-2668|9476|69_cluster_MchersinaDSM44151-3596-Item15-Cond-Item16-A_thr_Fill_0
650:'69',T,'67','69'@0.41;'67',D,'67','67'@0.2:646,649
649:'67',D,'67','67'@0.2;'67',T,'67','69'@0.53:67_cluster_STLI053.cluster001|3a97f0|1376-1556|9069|67_cluster_STLI053.cluster001-3496-Item10-Cond-Item11-A_asp_Fill_0,69_cluster_MchersinaDSM44151|4931ca|1371-1549|9457|69_cluster_MchersinaDSM44151-3595-Item6-Cond-Item7-A_asn_Fill_0
646:'67',D,'67','67'@0.2;'67',T,'69','67'@0.53:69_cluster_MchersinaDSM44151|89c115|5631-5810|9535|69_cluster_MchersinaDSM44151-3597-Item44-Cond-Item45-A_val_Fill_0,67_cluster_STLI053.cluster001|e171e6|5639-5825|9147|67_cluster_STLI053.cluster001-3498-Item48-Cond-Item49-A_val_Fill_0
642:'67',D,'67','67'@0.29;'67',T,'69','67'@0.32:638,641
641:'67',T,'69','67'@0.32;'67',D,'67','67'@1:67_cluster_STLI053.cluster001|e171e6|3515-3692|9135|67_cluster_STLI053.cluster001-3498-Item42-Cond-Item43-A_no_call_Fill_0,67_cluster_STLI053.cluster001|e171e6|7774-7963|9159|67_cluster_STLI053.cluster001-3498-Item54-Cond-Item55-A_leu_Fill_0
638:'67',T,'69','67'@0.32;'69',T,'69','67'@0.68:634,637
637:'69',T,'69','67'@0.68;'67',D,'67','67'@1:67_cluster_STLI053.cluster001|4e2fef|3584-3764|9094|67_cluster_STLI053.cluster001-3497-Item22-Cond-Item23-A_no_call_Fill_0,67_cluster_STLI053.cluster001|e171e6|1392-1572|9123|67_cluster_STLI053.cluster001-3498-Item36-Cond-Item37-A_hpg_Fill_0
634:'69',T,'69','67'@0.68;'69',D,'69','69'@1:69_cluster_MchersinaDSM44151|89c115|1391-1568|9511|69_cluster_MchersinaDSM44151-3597-Item32-Cond-Item33-A_hpg_Fill_0,69_cluster_MchersinaDSM44151|60540f|3567-3748|9482|69_cluster_MchersinaDSM44151-3596-Item18-Cond-Item19-A_hpg_Fill_0
631:'69',T,'69','67'@0.14;'69',T,'69','68'@0.53:69_cluster_MchersinaDSM44151|89c115|7764-7950|9547|69_cluster_MchersinaDSM44151-3597-Item50-Cond-Item51-A_hpg_Fill_0,630
630:'69',T,'69','68'@0.53;'68',D,'68','68'@1:68_cluster_HdaliensisNBRC106472.cluster001|55deb0|4450-4622|9292|68_cluster_HdaliensisNBRC106472.cluster001-3547-Item22-Cond-Item23-A_no_call_Fill_0,629
629:'68',D,'68','68'@1;'68',D,'68','68'@1:625,628
628:'68',D,'68','68'@1;'68',D,'68','68'@1:68_cluster_HdaliensisNBRC106472.cluster001|55deb0|3413-3592|9286|68_cluster_HdaliensisNBRC106472.cluster001-3547-Item19-Cond-Item20-A_no_call_Fill_0,68_cluster_HdaliensisNBRC106472.cluster001|4de7cc|3412-3594|9353|68_cluster_HdaliensisNBRC106472.cluster001-3548-Item52-Cond-Item53-A_tyr_Fill_0
625:'68',D,'68','68'@1;'68',D,'68','68'@1:68_cluster_HdaliensisNBRC106472.cluster001|55deb0|6518-6691|9304|68_cluster_HdaliensisNBRC106472.cluster001-3547-Item28-Cond-Item29-A_no_call_Fill_0,624
624:'68',D,'68','68'@1;'68',D,'68','68'@1:68_cluster_HdaliensisNBRC106472.cluster001|55deb0|10615-10803|9328|68_cluster_HdaliensisNBRC106472.cluster001-3547-Item40-Cond-Item41-A_asp_Fill_0,68_cluster_HdaliensisNBRC106472.cluster001|4de7cc|5448-5631|9365|68_cluster_HdaliensisNBRC106472.cluster001-3548-Item58-Cond-Item59-A_asp_Fill_0
617:71,S,70,63@0.63;70,T,70,92@0.63:601,616
616:70,T,70,92@0.63;92,T,'70',92@0.75:70_cluster_TLI55.cluster001|1dcea7|1978-2155|9671|70_cluster_TLI55.cluster001-3658-Item5-Cond-Item6-A_no_call_Fill_0,615
615:92,T,'70',92@0.75;92,S,'62',90@1:62_cluster_SspCNQ329.cluster001|288edd|1086-1261|8356|62_cluster_SspCNQ329.cluster001-3213-Item5-Cond-Item6-A_no_call_Fill_0,614
614:92,S,'62',90@1;90,S,89,86@1:606,613
613:90,S,89,86@1;86,S,84,'63'@0.5:609,612
612:86,S,84,'63'@0.5;'63',T,'63','65'@0.5:63_cluster_SspCNQ525.cluster001|47a90b|1085-1261|8451|63_cluster_SspCNQ525.cluster001-3269-Item5-Cond-Item6-A_no_call_Fill_0,65_cluster_SspCNT371.cluster001|e00a01|1085-1261|8752|65_cluster_SspCNT371.cluster001-3381-Item5-Cond-Item6-A_no_call_Fill_0
609:86,S,84,'63'@0.5;84,SL,'65',82@0.5;82,S,'64','66'@1:64_cluster_SspCNQ865.cluster001|1efe89|1085-1261|8655|64_cluster_SspCNQ865.cluster001-3325-Item5-Cond-Item6-A_no_call_Fill_0,66_cluster_SspCNY243.cluster001|26108b|1031-1207|8911|66_cluster_SspCNY243.cluster001-3435-Item5-Cond-Item6-A_no_call_Fill_0
